Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.1           	2.929852e+00	1.464926e+00	1.464926e+00	-2.863890e-01	-1.654482e-01	-1.209408e-01	-2.225370e-02	-1.158102e-20	-3.133196e-20	-4.644478e-20	-5.455435e-20	8.109567e-21
0.2           	2.062033e+00	1.031016e+00	1.031016e+00	-9.548765e-02	-5.881853e-02	-3.666912e-02	-1.107471e-02	-9.138092e-21	-2.292635e-20	-4.919377e-20	-4.752324e-20	-1.670536e-21
0.3           	1.648225e+00	8.241127e-01	8.241127e-01	-4.257175e-02	-2.722506e-02	-1.534669e-02	-5.939184e-03	-8.549730e-21	-1.886221e-20	-4.981809e-20	-4.377125e-20	-6.046839e-21
0.4           	1.430258e+00	7.151288e-01	7.151288e-01	-1.993205e-02	-1.347376e-02	-6.458289e-03	-3.507734e-03	-9.655527e-21	-1.684365e-20	-4.982091e-20	-4.175410e-20	-8.066805e-21
0.5           	1.306457e+00	6.532286e-01	6.532286e-01	-8.012096e-03	-6.287623e-03	-1.724473e-03	-2.281575e-03	-1.161985e-20	-1.580884e-20	-4.964571e-20	-4.063170e-20	-9.014011e-21
0.6           	1.233231e+00	6.166154e-01	6.166154e-01	-7.334042e-04	-1.980407e-03	1.247003e-03	-1.613705e-03	-1.401936e-20	-1.534232e-20	-4.938680e-20	-4.003572e-20	-9.351085e-21
0.7           	1.190627e+00	5.953134e-01	5.953134e-01	3.528397e-03	5.441405e-04	2.984256e-03	-1.220058e-03	-1.668217e-20	-1.525108e-20	-4.918991e-20	-3.984603e-20	-9.343877e-21
0.8           	1.166441e+00	5.832204e-01	5.832204e-01	6.333844e-03	2.196595e-03	4.137249e-03	-9.703271e-04	-1.956439e-20	-1.530847e-20	-4.891241e-20	-3.976467e-20	-9.147737e-21
0.9           	1.155323e+00	5.776614e-01	5.776614e-01	8.274827e-03	3.334301e-03	4.940526e-03	-8.031127e-04	-2.266423e-20	-1.553967e-20	-4.867238e-20	-3.987586e-20	-8.796523e-21
1             	1.153081e+00	5.765407e-01	5.765407e-01	9.693752e-03	4.160562e-03	5.533190e-03	-6.863141e-04	-2.592411e-20	-1.585826e-20	-4.840707e-20	-4.006179e-20	-8.345275e-21
