Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.1           	1.454629e+00	7.273146e-01	7.273146e-01	-5.907515e-01	-2.971013e-01	-2.936502e-01	-1.725577e-03	-7.551287e-20	-3.157087e-20	-5.579295e-20	-5.946735e-20	3.674401e-21
0.2           	1.433837e+00	7.169184e-01	7.169184e-01	-5.737995e-01	-2.879157e-01	-2.858838e-01	-1.015961e-03	-7.507547e-20	-3.097517e-20	-5.295740e-20	-5.745387e-20	4.496470e-21
0.3           	1.421318e+00	7.106592e-01	7.106592e-01	-5.510187e-01	-2.758161e-01	-2.752026e-01	-3.067683e-04	-7.451357e-20	-3.055000e-20	-5.064051e-20	-5.587025e-20	5.229744e-21
0.4           	1.413499e+00	7.067496e-01	7.067496e-01	-5.257034e-01	-2.624484e-01	-2.632549e-01	4.032488e-04	-7.390331e-20	-3.021815e-20	-4.893677e-20	-5.468653e-20	5.749762e-21
0.5           	1.407823e+00	7.039114e-01	7.039114e-01	-4.980029e-01	-2.478903e-01	-2.501127e-01	1.111184e-03	-7.323409e-20	-2.993723e-20	-4.773578e-20	-5.380512e-20	6.069340e-21
0.6           	1.403195e+00	7.015976e-01	7.015976e-01	-4.691559e-01	-2.327641e-01	-2.363918e-01	1.813847e-03	-7.255492e-20	-2.966038e-20	-4.684398e-20	-5.308237e-20	6.238394e-21
0.7           	1.398718e+00	6.993589e-01	6.993589e-01	-4.385963e-01	-2.167899e-01	-2.218064e-01	2.508275e-03	-7.184986e-20	-2.936063e-20	-4.610909e-20	-5.241517e-20	6.306084e-21
0.8           	1.393540e+00	6.967699e-01	6.967699e-01	-4.060590e-01	-1.998376e-01	-2.062214e-01	3.191878e-03	-7.110062e-20	-2.903576e-20	-4.545522e-20	-5.176337e-20	6.308148e-21
0.9           	1.388362e+00	6.941810e-01	6.941810e-01	-3.727184e-01	-1.824969e-01	-1.902215e-01	3.862272e-03	-7.035512e-20	-2.869081e-20	-4.482100e-20	-5.110132e-20	6.280312e-21
1             	1.383718e+00	6.918590e-01	6.918590e-01	-3.369538e-01	-1.639596e-01	-1.729943e-01	4.517351e-03	-6.957202e-20	-2.832817e-20	-4.427062e-20	-5.046348e-20	6.192857e-21
1.1           	1.378593e+00	6.892964e-01	6.892964e-01	-3.002496e-01	-1.449697e-01	-1.552798e-01	5.155046e-03	-6.878751e-20	-2.793303e-20	-4.367308e-20	-4.976957e-20	6.096489e-21
1.2           	1.373831e+00	6.869154e-01	6.869154e-01	-2.625598e-01	-1.255066e-01	-1.370532e-01	5.773331e-03	-6.800878e-20	-2.751865e-20	-4.307684e-20	-4.905707e-20	5.980235e-21
1.3           	1.368734e+00	6.843668e-01	6.843668e-01	-2.231623e-01	-1.052110e-01	-1.179513e-01	6.370153e-03	-6.721276e-20	-2.706203e-20	-4.244051e-20	-4.828229e-20	5.841778e-21
1.4           	1.363981e+00	6.819904e-01	6.819904e-01	-1.828654e-01	-8.448896e-02	-9.837645e-02	6.943745e-03	-6.642114e-20	-2.657494e-20	-4.175988e-20	-4.745488e-20	5.694993e-21
1.5           	1.359451e+00	6.797253e-01	6.797253e-01	-1.418730e-01	-6.344418e-02	-7.842882e-02	7.492317e-03	-6.564275e-20	-2.605060e-20	-4.102438e-20	-4.656280e-20	5.538414e-21
1.6           	1.354608e+00	6.773042e-01	6.773042e-01	-9.968707e-02	-4.182954e-02	-5.785754e-02	8.013999e-03	-6.486433e-20	-2.550905e-20	-4.022919e-20	-4.562365e-20	5.394459e-21
1.7           	1.351636e+00	6.758182e-01	6.758182e-01	-5.800542e-02	-2.049559e-02	-3.750983e-02	8.507119e-03	-6.413409e-20	-2.495821e-20	-3.945097e-20	-4.468369e-20	5.232723e-21
1.8           	1.347845e+00	6.739226e-01	6.739226e-01	-1.495959e-02	1.489972e-03	-1.644956e-02	8.969768e-03	-6.338768e-20	-2.437257e-20	-3.859454e-20	-4.366984e-20	5.075302e-21
1.9           	1.345150e+00	6.725752e-01	6.725752e-01	2.713679e-02	2.296878e-02	4.168012e-03	9.400383e-03	-6.269395e-20	-2.378911e-20	-3.769029e-20	-4.263425e-20	4.943963e-21
2             	1.343025e+00	6.715127e-01	6.715127e-01	6.957825e-02	4.458637e-02	2.499188e-02	9.797247e-03	-6.200875e-20	-2.320514e-20	-3.680357e-20	-4.160693e-20	4.803361e-21
2.1           	1.341567e+00	6.707833e-01	6.707833e-01	1.121601e-01	6.623880e-02	4.592128e-02	1.015876e-02	-6.134658e-20	-2.261479e-20	-3.588139e-20	-4.055549e-20	4.674098e-21
2.2           	1.340130e+00	6.700648e-01	6.700648e-01	1.538125e-01	8.738958e-02	6.642295e-02	1.048331e-02	-6.071173e-20	-2.203427e-20	-3.492477e-20	-3.949666e-20	4.571888e-21
2.3           	1.339613e+00	6.698065e-01	6.698065e-01	1.955318e-01	1.085353e-01	8.699650e-02	1.076940e-02	-6.009507e-20	-2.146290e-20	-3.397283e-20	-3.844931e-20	4.476481e-21
2.4           	1.339863e+00	6.699314e-01	6.699314e-01	2.365766e-01	1.293038e-01	1.072728e-01	1.101553e-02	-5.950046e-20	-2.091507e-20	-3.304914e-20	-3.743964e-20	4.390501e-21
2.5           	1.340694e+00	6.703471e-01	6.703471e-01	2.763171e-01	1.493790e-01	1.269382e-01	1.122039e-02	-5.893857e-20	-2.040695e-20	-3.214319e-20	-3.647855e-20	4.335354e-21
2.6           	1.342570e+00	6.712849e-01	6.712849e-01	3.150699e-01	1.689177e-01	1.461522e-01	1.138271e-02	-5.840421e-20	-1.993685e-20	-3.128676e-20	-3.558023e-20	4.293471e-21
2.7           	1.344253e+00	6.721263e-01	6.721263e-01	3.536730e-01	1.883379e-01	1.653351e-01	1.150141e-02	-5.786841e-20	-1.949287e-20	-3.041987e-20	-3.470280e-20	4.282936e-21
2.8           	1.347104e+00	6.735519e-01	6.735519e-01	3.901663e-01	2.066586e-01	1.835077e-01	1.157544e-02	-5.737574e-20	-1.910395e-20	-2.962230e-20	-3.391510e-20	4.292804e-21
2.9           	1.350552e+00	6.752758e-01	6.752758e-01	4.248747e-01	2.240414e-01	2.008333e-01	1.160404e-02	-5.691547e-20	-1.877400e-20	-2.887180e-20	-3.320990e-20	4.338099e-21
3             	1.354267e+00	6.771336e-01	6.771336e-01	4.581919e-01	2.406826e-01	2.175093e-01	1.158664e-02	-5.647330e-20	-1.848002e-20	-2.815853e-20	-3.255929e-20	4.400758e-21
3.1           	1.358746e+00	6.793731e-01	6.793731e-01	4.896345e-01	2.563401e-01	2.332944e-01	1.152286e-02	-5.606225e-20	-1.826122e-20	-2.753796e-20	-3.203020e-20	4.492238e-21
3.2           	1.362689e+00	6.813447e-01	6.813447e-01	5.186465e-01	2.707358e-01	2.479106e-01	1.141260e-02	-5.567814e-20	-1.809287e-20	-2.693148e-20	-3.155861e-20	4.627134e-21
3.3           	1.368073e+00	6.840365e-01	6.840365e-01	5.459234e-01	2.842176e-01	2.617058e-01	1.125592e-02	-5.532771e-20	-1.798351e-20	-2.647064e-20	-3.121883e-20	4.748191e-21
3.4           	1.372453e+00	6.862267e-01	6.862267e-01	5.709161e-01	2.965113e-01	2.744048e-01	1.105329e-02	-5.499948e-20	-1.792592e-20	-2.599126e-20	-3.092155e-20	4.930295e-21
3.5           	1.378033e+00	6.890166e-01	6.890166e-01	5.935733e-01	3.075920e-01	2.859814e-01	1.080531e-02	-5.471533e-20	-1.793116e-20	-2.564495e-20	-3.075364e-20	5.108690e-21
3.6           	1.381701e+00	6.908507e-01	6.908507e-01	6.132422e-01	3.171339e-01	2.961082e-01	1.051285e-02	-5.444938e-20	-1.796154e-20	-2.522877e-20	-3.057592e-20	5.347156e-21
3.7           	1.388071e+00	6.940353e-01	6.940353e-01	6.313107e-01	3.258324e-01	3.054783e-01	1.017704e-02	-5.423076e-20	-1.806454e-20	-2.507153e-20	-3.060030e-20	5.528774e-21
3.8           	1.393358e+00	6.966792e-01	6.966792e-01	6.464990e-01	3.330489e-01	3.134501e-01	9.799397e-03	-5.404206e-20	-1.818497e-20	-2.488209e-20	-3.062602e-20	5.743927e-21
3.9           	1.397599e+00	6.987997e-01	6.987997e-01	6.591112e-01	3.389371e-01	3.201741e-01	9.381533e-03	-5.387921e-20	-1.835920e-20	-2.471167e-20	-3.071503e-20	6.003366e-21
4             	1.401721e+00	7.008604e-01	7.008604e-01	6.682822e-01	3.430664e-01	3.252158e-01	8.925269e-03	-5.376892e-20	-1.854474e-20	-2.458719e-20	-3.083833e-20	6.251142e-21
4.1           	1.405929e+00	7.029645e-01	7.029645e-01	6.759119e-01	3.463888e-01	3.295231e-01	8.432822e-03	-5.367960e-20	-1.875342e-20	-2.451560e-20	-3.101122e-20	6.495615e-21
4.2           	1.408951e+00	7.044754e-01	7.044754e-01	6.800664e-01	3.479397e-01	3.321267e-01	7.906502e-03	-5.361847e-20	-1.897942e-20	-2.448262e-20	-3.122073e-20	6.738108e-21
4.3           	1.413176e+00	7.065878e-01	7.065878e-01	6.821004e-01	3.483989e-01	3.337015e-01	7.348713e-03	-5.361253e-20	-1.923909e-20	-2.453289e-20	-3.150553e-20	6.972644e-21
4.4           	1.415816e+00	7.079081e-01	7.079081e-01	6.808144e-01	3.471693e-01	3.336451e-01	6.762088e-03	-5.363953e-20	-1.947450e-20	-2.454237e-20	-3.174569e-20	7.203317e-21
4.5           	1.418360e+00	7.091801e-01	7.091801e-01	6.775781e-01	3.449384e-01	3.326396e-01	6.149407e-03	-5.369062e-20	-1.972639e-20	-2.461196e-20	-3.203237e-20	7.420407e-21
4.6           	1.419639e+00	7.098196e-01	7.098196e-01	6.710800e-01	3.410535e-01	3.300265e-01	5.513498e-03	-5.377374e-20	-1.994736e-20	-2.464967e-20	-3.227220e-20	7.622527e-21
4.7           	1.420598e+00	7.102992e-01	7.102992e-01	6.631647e-01	3.364397e-01	3.267251e-01	4.857315e-03	-5.387802e-20	-2.016273e-20	-2.469064e-20	-3.250805e-20	7.817410e-21
4.8           	1.421142e+00	7.105712e-01	7.105712e-01	6.517867e-01	3.300771e-01	3.217095e-01	4.183808e-03	-5.402972e-20	-2.038653e-20	-2.478701e-20	-3.278003e-20	7.993028e-21
4.9           	1.420935e+00	7.104673e-01	7.104673e-01	6.384377e-01	3.227148e-01	3.157230e-01	3.495906e-03	-5.419660e-20	-2.057521e-20	-2.484498e-20	-3.299770e-20	8.152725e-21
5             	1.419960e+00	7.099802e-01	7.099802e-01	6.220219e-01	3.138076e-01	3.082144e-01	2.796595e-03	-5.441043e-20	-2.075207e-20	-2.489986e-20	-3.320200e-20	8.302139e-21
5.1           	1.418524e+00	7.092618e-01	7.092618e-01	6.047296e-01	3.044538e-01	3.002758e-01	2.088967e-03	-5.463353e-20	-2.090364e-20	-2.494189e-20	-3.337458e-20	8.432692e-21
5.2           	1.415977e+00	7.079887e-01	7.079887e-01	5.845203e-01	2.936359e-01	2.908844e-01	1.375742e-03	-5.488515e-20	-2.102162e-20	-2.496679e-20	-3.350502e-20	8.538222e-21
5.3           	1.414017e+00	7.070084e-01	7.070084e-01	5.623135e-01	2.818165e-01	2.804969e-01	6.598157e-04	-5.518184e-20	-2.117172e-20	-2.508042e-20	-3.371194e-20	8.631512e-21
