Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.1           	2.547376e+00	1.273688e+00	1.273688e+00	-2.812814e-01	-1.548775e-01	-1.264039e-01	-1.423681e-02	1.594363e-20	4.443982e-20	9.165983e-20	9.026973e-20	1.390097e-21
0.2           	2.084576e+00	1.042288e+00	1.042288e+00	-7.154824e-02	-4.675402e-02	-2.479422e-02	-1.097990e-02	-4.078507e-21	3.732617e-20	9.179072e-20	8.322153e-20	8.569189e-21
0.3           	1.791193e+00	8.955967e-01	8.955967e-01	-2.039757e-02	-1.855865e-02	-1.838920e-03	-8.359865e-03	-1.143427e-20	3.265041e-20	7.954143e-20	7.242113e-20	7.120302e-21
0.4           	1.595562e+00	7.977811e-01	7.977811e-01	-1.547692e-03	-7.080785e-03	5.533092e-03	-6.306939e-03	-2.311525e-20	3.049895e-20	8.582261e-20	7.341025e-20	1.241236e-20
0.5           	1.467074e+00	7.335371e-01	7.335371e-01	9.803848e-03	1.448797e-04	9.658969e-03	-4.757044e-03	-3.385978e-20	2.879056e-20	8.207514e-20	6.982814e-20	1.224701e-20
0.6           	1.386673e+00	6.933365e-01	6.933365e-01	1.189616e-02	2.338066e-03	9.558097e-03	-3.610016e-03	-3.909402e-20	2.863274e-20	8.158681e-20	6.942615e-20	1.216066e-20
0.7           	1.326937e+00	6.634686e-01	6.634686e-01	1.171296e-02	3.027783e-03	8.685172e-03	-2.828695e-03	-4.795589e-20	2.905616e-20	7.826724e-20	6.818979e-20	1.007746e-20
0.8           	1.295144e+00	6.475720e-01	6.475720e-01	1.382747e-02	4.640156e-03	9.187314e-03	-2.273579e-03	-5.239960e-20	3.052207e-20	7.835073e-20	6.969744e-20	8.653293e-21
0.9           	1.275242e+00	6.376211e-01	6.376211e-01	1.516868e-02	5.694081e-03	9.474596e-03	-1.890257e-03	-6.318872e-20	3.151183e-20	7.792459e-20	7.047412e-20	7.450467e-21
1             	1.262999e+00	6.314994e-01	6.314994e-01	1.553079e-02	6.155563e-03	9.375224e-03	-1.609830e-03	-7.329865e-20	3.261639e-20	7.849260e-20	7.186269e-20	6.629912e-21
1.1           	1.260966e+00	6.304829e-01	6.304829e-01	1.639995e-02	6.833924e-03	9.566029e-03	-1.366052e-03	-8.067089e-20	3.370960e-20	7.899880e-20	7.320900e-20	5.789800e-21
1.2           	1.262578e+00	6.312889e-01	6.312889e-01	1.618892e-02	6.884899e-03	9.304020e-03	-1.209561e-03	-8.711208e-20	3.468942e-20	7.715993e-20	7.326939e-20	3.890542e-21
