Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.1           	2.542486e+00	1.271243e+00	1.271243e+00	-2.817422e-01	-1.550835e-01	-1.266587e-01	-1.421244e-02	1.733334e-20	4.414976e-20	9.155135e-20	8.992543e-20	1.625922e-21
0.2           	2.078215e+00	1.039107e+00	1.039107e+00	-7.147259e-02	-4.673098e-02	-2.474161e-02	-1.099469e-02	-5.863869e-21	3.673892e-20	9.101244e-20	8.224514e-20	8.767298e-21
0.3           	1.786214e+00	8.931069e-01	8.931069e-01	-2.166941e-02	-1.923376e-02	-2.435651e-03	-8.399055e-03	-1.383290e-20	3.196568e-20	8.130639e-20	7.261887e-20	8.687517e-21
0.4           	1.591954e+00	7.959770e-01	7.959770e-01	-2.849172e-03	-7.774317e-03	4.925145e-03	-6.349731e-03	-2.465078e-20	2.994119e-20	8.745357e-20	7.366798e-20	1.378559e-20
0.5           	1.462982e+00	7.314912e-01	7.314912e-01	9.970239e-03	1.583640e-04	9.811875e-03	-4.826755e-03	-3.517568e-20	2.917360e-20	8.161858e-20	6.998289e-20	1.163569e-20
0.6           	1.383539e+00	6.917697e-01	6.917697e-01	1.029334e-02	1.461774e-03	8.831569e-03	-3.684897e-03	-3.962122e-20	2.867416e-20	8.109032e-20	6.921932e-20	1.187100e-20
0.7           	1.320769e+00	6.603843e-01	6.603843e-01	1.356765e-02	3.892022e-03	9.675628e-03	-2.891803e-03	-4.898152e-20	2.879972e-20	7.853428e-20	6.806686e-20	1.046742e-20
0.8           	1.292146e+00	6.460729e-01	6.460729e-01	1.379003e-02	4.565837e-03	9.224193e-03	-2.329178e-03	-5.078756e-20	3.074430e-20	7.843834e-20	6.996347e-20	8.474869e-21
0.9           	1.271900e+00	6.359499e-01	6.359499e-01	1.499024e-02	5.555810e-03	9.434432e-03	-1.939311e-03	-6.262347e-20	3.126255e-20	7.747961e-20	7.000236e-20	7.477252e-21
1             	1.259336e+00	6.296679e-01	6.296679e-01	1.528237e-02	6.000819e-03	9.281554e-03	-1.640367e-03	-7.164025e-20	3.231612e-20	7.923024e-20	7.193124e-20	7.299001e-21
