Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.1           	2.523664e+00	1.261832e+00	1.261832e+00	-2.890457e-01	-1.597042e-01	-1.293415e-01	-1.518138e-02	-1.217094e-20	4.302691e-20	7.993744e-20	8.299563e-20	-3.058189e-21
0.2           	2.072005e+00	1.036002e+00	1.036002e+00	-7.724701e-02	-5.030822e-02	-2.693879e-02	-1.168471e-02	-1.658540e-20	3.583232e-20	9.106319e-20	8.136391e-20	9.699280e-21
0.3           	1.773499e+00	8.867497e-01	8.867497e-01	-2.232219e-02	-1.984251e-02	-2.479681e-03	-8.681417e-03	-3.078945e-20	3.175997e-20	9.871596e-20	8.111795e-20	1.759801e-20
0.4           	1.584183e+00	7.920915e-01	7.920915e-01	5.011459e-04	-6.127857e-03	6.629002e-03	-6.378429e-03	-3.611462e-20	3.073335e-20	8.498202e-20	7.322436e-20	1.175766e-20
0.5           	1.455444e+00	7.277222e-01	7.277222e-01	8.317387e-03	-6.581440e-04	8.975531e-03	-4.816838e-03	-4.811502e-20	3.034743e-20	7.058506e-20	6.563996e-20	4.945100e-21
0.6           	1.370913e+00	6.854566e-01	6.854566e-01	7.900468e-03	3.276476e-04	7.572821e-03	-3.622587e-03	-5.097908e-20	2.471645e-20	8.351792e-20	6.647541e-20	1.704251e-20
0.7           	1.319632e+00	6.598162e-01	6.598162e-01	1.965891e-02	6.974560e-03	1.268435e-02	-2.854895e-03	-5.225027e-20	2.272410e-20	8.685275e-20	6.615048e-20	2.070228e-20
0.8           	1.285584e+00	6.427920e-01	6.427920e-01	1.262286e-02	3.998084e-03	8.624772e-03	-2.313344e-03	-5.394191e-20	2.406814e-20	9.150198e-20	6.981913e-20	2.168285e-20
0.9           	1.268928e+00	6.344639e-01	6.344639e-01	1.875028e-02	7.530089e-03	1.122019e-02	-1.845053e-03	-6.290393e-20	2.259219e-20	9.625711e-20	7.072075e-20	2.553637e-20
1             	1.255792e+00	6.278958e-01	6.278958e-01	1.794659e-02	7.499557e-03	1.044703e-02	-1.473737e-03	-7.316507e-20	2.374207e-20	8.698976e-20	6.723695e-20	1.975281e-20
1.1           	1.248845e+00	6.244225e-01	6.244225e-01	1.598932e-02	6.829982e-03	9.159336e-03	-1.164677e-03	-8.344150e-20	2.767378e-20	7.649388e-20	6.592072e-20	1.057315e-20
1.2           	1.247484e+00	6.237420e-01	6.237420e-01	1.456467e-02	6.304405e-03	8.260263e-03	-9.779286e-04	-9.640691e-20	3.415598e-20	6.747910e-20	6.789553e-20	-4.164275e-22
1.3           	1.263859e+00	6.319295e-01	6.319295e-01	2.503010e-02	1.163411e-02	1.339599e-02	-8.809399e-04	-9.524678e-20	3.871021e-20	6.506898e-20	7.124470e-20	-6.175720e-21
1.4           	1.265986e+00	6.329932e-01	6.329932e-01	2.324443e-02	1.057699e-02	1.266745e-02	-1.045230e-03	-1.144935e-19	4.141576e-20	6.818651e-20	7.550902e-20	-7.322507e-21
1.5           	1.278763e+00	6.393814e-01	6.393814e-01	1.842963e-02	8.236214e-03	1.019341e-02	-9.785983e-04	-1.205402e-19	4.160860e-20	7.336715e-20	7.829218e-20	-4.925029e-21
1.6           	1.285507e+00	6.427534e-01	6.427534e-01	2.606677e-02	1.223105e-02	1.383571e-02	-8.023305e-04	-1.296926e-19	3.944153e-20	7.844301e-20	7.866304e-20	-2.200293e-22
1.7           	1.303796e+00	6.518979e-01	6.518979e-01	2.146960e-02	9.930837e-03	1.153877e-02	-8.039652e-04	-1.308859e-19	3.938514e-20	8.161790e-20	8.019409e-20	1.423811e-21
1.8           	1.323724e+00	6.618618e-01	6.618618e-01	2.171452e-02	1.018516e-02	1.152936e-02	-6.720980e-04	-1.343804e-19	3.872275e-20	8.102859e-20	7.923704e-20	1.791542e-21
1.9           	1.334843e+00	6.674213e-01	6.674213e-01	1.772466e-02	8.430475e-03	9.294189e-03	-4.318570e-04	-1.386206e-19	4.134268e-20	7.604628e-20	7.936582e-20	-3.319544e-21
2             	1.346566e+00	6.732830e-01	6.732830e-01	1.795598e-02	8.583429e-03	9.372549e-03	-3.945598e-04	-1.417450e-19	4.249959e-20	7.781786e-20	8.140852e-20	-3.590664e-21
2.1           	1.353834e+00	6.769172e-01	6.769172e-01	1.891108e-02	8.901528e-03	1.000956e-02	-5.540135e-04	-1.501392e-19	4.554882e-20	7.357830e-20	8.233797e-20	-8.759667e-21
2.2           	1.361724e+00	6.808619e-01	6.808619e-01	1.660894e-02	7.681880e-03	8.927061e-03	-6.225906e-04	-1.563184e-19	5.020460e-20	6.553557e-20	8.297238e-20	-1.743682e-20
2.3           	1.369892e+00	6.849458e-01	6.849458e-01	1.390765e-02	6.311073e-03	7.596579e-03	-6.427531e-04	-1.694709e-19	5.140316e-20	6.347284e-20	8.313958e-20	-1.966673e-20
2.4           	1.375337e+00	6.876683e-01	6.876683e-01	1.063379e-02	4.695975e-03	5.937813e-03	-6.209190e-04	-1.755143e-19	5.120495e-20	6.397301e-20	8.319146e-20	-1.921845e-20
2.5           	1.383641e+00	6.918204e-01	6.918204e-01	9.510568e-03	4.128139e-03	5.382428e-03	-6.271447e-04	-1.746772e-19	4.569503e-20	6.999018e-20	8.069012e-20	-1.069995e-20
2.6           	1.386318e+00	6.931590e-01	6.931590e-01	1.606669e-02	7.451495e-03	8.615197e-03	-5.818510e-04	-1.803322e-19	4.583134e-20	7.114263e-20	8.140266e-20	-1.026003e-20
2.7           	1.391709e+00	6.958545e-01	6.958545e-01	4.182189e-03	1.591781e-03	2.590408e-03	-4.993136e-04	-1.753285e-19	4.778466e-20	6.417999e-20	7.987465e-20	-1.569466e-20
2.8           	1.399492e+00	6.997460e-01	6.997460e-01	1.121905e-02	5.175178e-03	6.043875e-03	-4.343487e-04	-1.756636e-19	4.725248e-20	6.601288e-20	8.025892e-20	-1.424604e-20
2.9           	1.399005e+00	6.995023e-01	6.995023e-01	8.757130e-03	3.847085e-03	4.910045e-03	-5.314799e-04	-1.762758e-19	4.816985e-20	6.721656e-20	8.177813e-20	-1.456157e-20
3             	1.395268e+00	6.976340e-01	6.976340e-01	5.365390e-03	2.093191e-03	3.272199e-03	-5.895036e-04	-1.807019e-19	5.517597e-20	5.514191e-20	8.274692e-20	-2.760501e-20
3.1           	1.400867e+00	7.004336e-01	7.004336e-01	7.999891e-03	3.472626e-03	4.527264e-03	-5.273191e-04	-1.820250e-19	5.562108e-20	5.396225e-20	8.260220e-20	-2.863996e-20
3.2           	1.398050e+00	6.990249e-01	6.990249e-01	1.298447e-02	6.012249e-03	6.972218e-03	-4.799841e-04	-1.914312e-19	5.347673e-20	5.716765e-20	8.206055e-20	-2.489291e-20
