Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.025         	3.374770e+00	1.687385e+00	1.687385e+00	-1.413458e+00	-7.157905e-01	-6.976674e-01	-9.061543e-03	3.126084e-20	6.258791e-20	5.826055e-20	9.171818e-20	-3.345763e-20
0.05          	2.805944e+00	1.402972e+00	1.402972e+00	-6.085868e-01	-3.133255e-01	-2.952613e-01	-9.032081e-03	2.283003e-20	4.883359e-20	8.537107e-20	9.151912e-20	-6.148056e-21
0.075         	2.635482e+00	1.317741e+00	1.317741e+00	-3.199400e-01	-1.687949e-01	-1.511451e-01	-8.824866e-03	4.693040e-21	4.431271e-20	9.068574e-20	8.965558e-20	1.030156e-21
0.1           	2.478362e+00	1.239181e+00	1.239181e+00	-1.912271e-01	-1.041316e-01	-8.709552e-02	-8.518026e-03	-9.341880e-21	4.176708e-20	9.089696e-20	8.721556e-20	3.681402e-21
0.125         	2.336737e+00	1.168369e+00	1.168369e+00	-1.223029e-01	-6.930561e-02	-5.299730e-02	-8.154157e-03	-1.641638e-20	4.052472e-20	8.827312e-20	8.466127e-20	3.611843e-21
0.15          	2.211636e+00	1.105818e+00	1.105818e+00	-8.112833e-02	-4.832255e-02	-3.280578e-02	-7.758386e-03	-1.909068e-20	3.851381e-20	8.760143e-20	8.231453e-20	5.286899e-21
0.175         	2.101539e+00	1.050770e+00	1.050770e+00	-5.587795e-02	-3.528615e-02	-2.059180e-02	-7.347177e-03	-2.063744e-20	3.647621e-20	8.739311e-20	8.017276e-20	7.220350e-21
0.2           	2.004579e+00	1.002289e+00	1.002289e+00	-3.848539e-02	-2.617513e-02	-1.231026e-02	-6.932437e-03	-2.238510e-20	3.474625e-20	8.740470e-20	7.844860e-20	8.956095e-21
0.225         	1.919184e+00	9.595918e-01	9.595918e-01	-2.620487e-02	-1.962499e-02	-6.579883e-03	-6.522554e-03	-2.379727e-20	3.357149e-20	8.677539e-20	7.695918e-20	9.816208e-21
0.25          	1.843513e+00	9.217564e-01	9.217564e-01	-1.626473e-02	-1.425573e-02	-2.009003e-03	-6.123364e-03	-2.527862e-20	3.253217e-20	8.640008e-20	7.573221e-20	1.066787e-20
0.275         	1.776141e+00	8.880706e-01	8.880706e-01	-9.441553e-03	-1.045919e-02	1.017640e-03	-5.738417e-03	-2.676401e-20	3.171304e-20	8.590114e-20	7.466361e-20	1.123753e-20
0.3           	1.716175e+00	8.580875e-01	8.580875e-01	-3.910451e-03	-7.325465e-03	3.415014e-03	-5.370239e-03	-2.752225e-20	3.099764e-20	8.538019e-20	7.368773e-20	1.169246e-20
0.325         	1.662119e+00	8.310593e-01	8.310593e-01	3.672039e-04	-4.836734e-03	5.203938e-03	-5.020336e-03	-2.902712e-20	3.034327e-20	8.509985e-20	7.289320e-20	1.220666e-20
0.35          	1.613666e+00	8.068331e-01	8.068331e-01	4.007618e-03	-2.685601e-03	6.693219e-03	-4.689410e-03	-3.030537e-20	2.977733e-20	8.475630e-20	7.215548e-20	1.260082e-20
0.375         	1.570341e+00	7.851704e-01	7.851704e-01	6.572392e-03	-1.091377e-03	7.663769e-03	-4.377573e-03	-3.118966e-20	2.929166e-20	8.459632e-20	7.158982e-20	1.300650e-20
0.4           	1.532006e+00	7.660032e-01	7.660032e-01	8.833489e-03	3.321610e-04	8.501328e-03	-4.084583e-03	-3.155790e-20	2.892451e-20	8.417657e-20	7.101279e-20	1.316377e-20
0.425         	1.497315e+00	7.486577e-01	7.486577e-01	1.089034e-02	1.634833e-03	9.255508e-03	-3.810337e-03	-3.241811e-20	2.856500e-20	8.397958e-20	7.055479e-20	1.342479e-20
0.45          	1.466032e+00	7.330158e-01	7.330158e-01	1.189120e-02	2.391166e-03	9.500035e-03	-3.554435e-03	-3.339980e-20	2.833611e-20	8.375049e-20	7.021135e-20	1.353914e-20
0.475         	1.437905e+00	7.189523e-01	7.189523e-01	1.293915e-02	3.153160e-03	9.785987e-03	-3.316414e-03	-3.435133e-20	2.816367e-20	8.339476e-20	6.986105e-20	1.353372e-20
0.5           	1.412637e+00	7.063183e-01	7.063183e-01	1.406661e-02	3.937852e-03	1.012875e-02	-3.095451e-03	-3.510724e-20	2.797477e-20	8.316149e-20	6.955552e-20	1.360597e-20
0.525         	1.389574e+00	6.947870e-01	6.947870e-01	1.492367e-02	4.571412e-03	1.035226e-02	-2.890426e-03	-3.623907e-20	2.784495e-20	8.286706e-20	6.927848e-20	1.358857e-20
0.55          	1.368617e+00	6.843086e-01	6.843086e-01	1.566867e-02	5.134072e-03	1.053460e-02	-2.700265e-03	-3.747941e-20	2.775496e-20	8.262063e-20	6.906527e-20	1.355536e-20
0.575         	1.349751e+00	6.748753e-01	6.748753e-01	1.647580e-02	5.713989e-03	1.076181e-02	-2.523910e-03	-3.865154e-20	2.768934e-20	8.244947e-20	6.891408e-20	1.353539e-20
0.6           	1.332714e+00	6.663572e-01	6.663572e-01	1.666337e-02	5.971298e-03	1.069207e-02	-2.360386e-03	-3.992512e-20	2.770951e-20	8.211954e-20	6.876928e-20	1.335026e-20
0.625         	1.317443e+00	6.587213e-01	6.587213e-01	1.841997e-02	7.001184e-03	1.141878e-02	-2.208799e-03	-4.110534e-20	2.760001e-20	8.224979e-20	6.872491e-20	1.352488e-20
0.65          	1.301773e+00	6.508863e-01	6.508863e-01	1.861319e-02	7.238082e-03	1.137511e-02	-2.068512e-03	-4.205394e-20	2.744178e-20	8.123091e-20	6.805724e-20	1.317367e-20
0.675         	1.289399e+00	6.446993e-01	6.446993e-01	1.827366e-02	7.197858e-03	1.107580e-02	-1.938973e-03	-4.329529e-20	2.773817e-20	8.111175e-20	6.829405e-20	1.281770e-20
0.7           	1.278067e+00	6.390334e-01	6.390334e-01	1.908566e-02	7.723248e-03	1.136242e-02	-1.819585e-03	-4.439660e-20	2.759451e-20	8.053956e-20	6.786429e-20	1.267527e-20
0.725         	1.267855e+00	6.339273e-01	6.339273e-01	1.757507e-02	7.078014e-03	1.049706e-02	-1.709521e-03	-4.530784e-20	2.812480e-20	8.046835e-20	6.835898e-20	1.210937e-20
0.75          	1.259199e+00	6.295997e-01	6.295997e-01	1.994219e-02	8.362554e-03	1.157964e-02	-1.608542e-03	-4.576318e-20	2.661514e-20	7.823367e-20	6.573197e-20	1.250170e-20
0.775         	1.251808e+00	6.259041e-01	6.259041e-01	1.884010e-02	7.904467e-03	1.093563e-02	-1.515581e-03	-4.802573e-20	2.907104e-20	8.070928e-20	6.942568e-20	1.128360e-20
0.8           	1.245307e+00	6.226534e-01	6.226534e-01	1.965769e-02	8.398216e-03	1.125948e-02	-1.430630e-03	-5.002938e-20	2.872303e-20	7.976832e-20	6.860719e-20	1.116113e-20
0.825         	1.239924e+00	6.199620e-01	6.199620e-01	1.948697e-02	8.390969e-03	1.109600e-02	-1.352517e-03	-5.134028e-20	2.894097e-20	7.969863e-20	6.879029e-20	1.090835e-20
0.85          	1.234745e+00	6.173727e-01	6.173727e-01	1.923491e-02	8.336560e-03	1.089835e-02	-1.280895e-03	-5.297519e-20	2.911170e-20	7.938372e-20	6.880355e-20	1.058016e-20
0.875         	1.230803e+00	6.154013e-01	6.154013e-01	1.977705e-02	8.672995e-03	1.110406e-02	-1.215530e-03	-5.444234e-20	2.935393e-20	7.913024e-20	6.891905e-20	1.021119e-20
0.9           	1.227539e+00	6.137695e-01	6.137695e-01	1.982944e-02	8.759421e-03	1.107002e-02	-1.155301e-03	-5.607621e-20	2.975235e-20	7.911159e-20	6.930815e-20	9.803442e-21
0.925         	1.224639e+00	6.123195e-01	6.123195e-01	1.994300e-02	8.871813e-03	1.107119e-02	-1.099687e-03	-5.755614e-20	2.992718e-20	7.899049e-20	6.942243e-20	9.568060e-21
0.95          	1.219836e+00	6.099182e-01	6.099182e-01	1.958986e-02	8.746213e-03	1.084364e-02	-1.048716e-03	-5.899623e-20	2.996069e-20	7.854166e-20	6.923152e-20	9.310139e-21
0.975         	1.218712e+00	6.093562e-01	6.093562e-01	1.999875e-02	8.997127e-03	1.100163e-02	-1.002249e-03	-6.062340e-20	3.025163e-20	7.835914e-20	6.943120e-20	8.927939e-21
1             	1.216672e+00	6.083358e-01	6.083358e-01	2.019008e-02	9.135590e-03	1.105449e-02	-9.594511e-04	-6.221536e-20	3.075555e-20	7.839954e-20	6.995532e-20	8.444220e-21
1.025         	1.215489e+00	6.077446e-01	6.077446e-01	1.987014e-02	9.015279e-03	1.085486e-02	-9.197891e-04	-6.381788e-20	3.076937e-20	7.791169e-20	6.972522e-20	8.186473e-21
1.05          	1.215412e+00	6.077058e-01	6.077058e-01	1.982613e-02	9.029983e-03	1.079615e-02	-8.830815e-04	-6.558847e-20	3.100048e-20	7.762083e-20	6.981089e-20	7.809936e-21
1.075         	1.215556e+00	6.077780e-01	6.077780e-01	1.994333e-02	9.122316e-03	1.082101e-02	-8.493494e-04	-6.719999e-20	3.124416e-20	7.751755e-20	7.000293e-20	7.514612e-21
1.1           	1.215361e+00	6.076804e-01	6.076804e-01	1.982557e-02	9.094347e-03	1.073122e-02	-8.184388e-04	-6.893461e-20	3.160618e-20	7.739409e-20	7.030322e-20	7.090866e-21
1.125         	1.216890e+00	6.084451e-01	6.084451e-01	2.022772e-02	9.323542e-03	1.090418e-02	-7.903184e-04	-7.066769e-20	3.200972e-20	7.729362e-20	7.065652e-20	6.637094e-21
1.15          	1.217976e+00	6.089880e-01	6.089880e-01	1.968824e-02	9.079704e-03	1.060854e-02	-7.644166e-04	-7.237118e-20	3.214429e-20	7.694192e-20	7.061525e-20	6.326671e-21
1.175         	1.220467e+00	6.102334e-01	6.102334e-01	2.019843e-02	9.358674e-03	1.083975e-02	-7.405398e-04	-7.421801e-20	3.261947e-20	7.692176e-20	7.108035e-20	5.841404e-21
1.2           	1.220323e+00	6.101614e-01	6.101614e-01	1.960021e-02	9.081585e-03	1.051862e-02	-7.185189e-04	-7.567880e-20	3.266231e-20	7.631600e-20	7.082031e-20	5.495685e-21
1.225         	1.221954e+00	6.109771e-01	6.109771e-01	1.965042e-02	9.127232e-03	1.052318e-02	-6.979763e-04	-7.781070e-20	3.315445e-20	7.649662e-20	7.140276e-20	5.093858e-21
1.25          	1.223800e+00	6.119001e-01	6.119001e-01	2.047601e-02	9.558895e-03	1.091712e-02	-6.791120e-04	-7.953583e-20	3.321486e-20	7.604837e-20	7.123905e-20	4.809324e-21
1.275         	1.226062e+00	6.130311e-01	6.130311e-01	1.934553e-02	9.010842e-03	1.033469e-02	-6.619249e-04	-8.153083e-20	3.391122e-20	7.633702e-20	7.207973e-20	4.257288e-21
1.3           	1.228731e+00	6.143653e-01	6.143653e-01	1.955070e-02	9.129102e-03	1.042160e-02	-6.462466e-04	-8.342576e-20	3.427329e-20	7.623829e-20	7.239243e-20	3.845852e-21
1.325         	1.230816e+00	6.154082e-01	6.154082e-01	1.927776e-02	9.006911e-03	1.027085e-02	-6.319706e-04	-8.502137e-20	3.449633e-20	7.589640e-20	7.244453e-20	3.451867e-21
1.35          	1.233934e+00	6.169669e-01	6.169669e-01	1.933219e-02	9.046899e-03	1.028529e-02	-6.191966e-04	-8.726058e-20	3.479323e-20	7.565769e-20	7.262208e-20	3.035614e-21
1.375         	1.237091e+00	6.185456e-01	6.185456e-01	1.919277e-02	8.988721e-03	1.020405e-02	-6.076654e-04	-8.920086e-20	3.507234e-20	7.542056e-20	7.278262e-20	2.637938e-21
