Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.05          	3.685393e+00	1.842697e+00	1.842697e+00	-3.916484e-08	-4.189060e-07	3.797412e-07	-3.993236e-07	-1.958242e-08	-1.842697e+00	0.000000e+00	-1.842697e+00	1.842697e+00
0.1           	2.648783e+00	1.324391e+00	1.324392e+00	-2.269998e-07	-2.817708e-07	5.477101e-08	-1.682709e-07	-1.134999e-07	-1.324391e+00	0.000000e+00	-1.324391e+00	1.324391e+00
0.15          	2.544901e+00	1.272450e+00	1.272451e+00	-7.649367e-07	-5.932888e-07	-1.716480e-07	-2.108204e-07	-3.824684e-07	-1.272450e+00	0.000000e+00	-1.272450e+00	1.272450e+00
0.2           	2.579895e+00	1.289947e+00	1.289947e+00	-8.071166e-08	-6.818838e-08	-1.252327e-08	-2.783255e-08	-4.035583e-08	-1.289947e+00	0.000000e+00	-1.289947e+00	1.289947e+00
0.25          	2.631848e+00	1.315924e+00	1.315924e+00	-1.172122e-08	-1.630437e-08	4.583154e-09	-1.044376e-08	-5.860611e-09	-1.315924e+00	0.000000e+00	-1.315924e+00	1.315924e+00
0.3           	2.665039e+00	1.332519e+00	1.332519e+00	-5.473404e-08	-3.945365e-08	-1.528039e-08	-1.208663e-08	-2.736702e-08	-1.332519e+00	0.000000e+00	-1.332519e+00	1.332519e+00
0.35          	2.668336e+00	1.334168e+00	1.334168e+00	9.063524e-08	1.083105e-07	-1.767522e-08	6.299284e-08	4.531762e-08	-1.334168e+00	0.000000e+00	-1.334168e+00	1.334168e+00
0.4           	2.642653e+00	1.321327e+00	1.321327e+00	2.643363e-08	1.516314e-08	1.127048e-08	1.946331e-09	1.321681e-08	-1.321327e+00	0.000000e+00	-1.321327e+00	1.321327e+00
0.45          	2.603585e+00	1.301792e+00	1.301792e+00	-1.007804e-07	-9.665592e-08	-4.124468e-09	-4.626573e-08	-5.039020e-08	-1.301792e+00	0.000000e+00	-1.301792e+00	1.301792e+00
0.5           	2.535979e+00	1.267990e+00	1.267990e+00	-2.453821e-08	-7.252761e-08	4.798939e-08	-6.025850e-08	-1.226911e-08	-1.267990e+00	0.000000e+00	-1.267990e+00	1.267990e+00
0.55          	2.442274e+00	1.221137e+00	1.221137e+00	7.298910e-08	-1.255072e-08	8.553982e-08	-4.904527e-08	3.649455e-08	-1.221137e+00	0.000000e+00	-1.221137e+00	1.221137e+00
