Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.05          	1.469847e+00	6.651731e-01	8.046744e-01	-2.790026e-01	-1.716660e-01	-1.073366e-01	-3.216465e-02	-6.975065e-02	-3.674619e-01	0.000000e+00	-3.674619e-01	3.674619e-01
0.1           	1.509536e+00	6.826031e-01	8.269331e-01	-2.886601e-01	-1.781400e-01	-1.105201e-01	-3.380996e-02	-7.216502e-02	-3.773840e-01	0.000000e+00	-3.773840e-01	3.773840e-01
0.15          	1.539734e+00	6.948271e-01	8.449068e-01	-3.001594e-01	-1.856029e-01	-1.145566e-01	-3.552314e-02	-7.503986e-02	-3.849335e-01	0.000000e+00	-3.849335e-01	3.849335e-01
0.2           	1.559373e+00	7.020206e-01	8.573525e-01	-3.106638e-01	-1.922022e-01	-1.184616e-01	-3.687029e-02	-7.766595e-02	-3.898433e-01	0.000000e+00	-3.898433e-01	3.898433e-01
0.25          	1.573380e+00	7.063754e-01	8.670044e-01	-3.212580e-01	-1.988290e-01	-1.224290e-01	-3.820001e-02	-8.031449e-02	-3.933450e-01	0.000000e+00	-3.933450e-01	3.933450e-01
0.3           	1.582151e+00	7.084524e-01	8.736984e-01	-3.304920e-01	-2.042740e-01	-1.262180e-01	-3.902799e-02	-8.262300e-02	-3.955377e-01	0.000000e+00	-3.955377e-01	3.955377e-01
0.35          	1.587828e+00	7.091862e-01	8.786421e-01	-3.389118e-01	-2.092673e-01	-1.296445e-01	-3.981141e-02	-8.472796e-02	-3.969571e-01	0.000000e+00	-3.969571e-01	3.969571e-01
0.4           	1.592886e+00	7.093915e-01	8.834941e-01	-3.482052e-01	-2.147386e-01	-1.334666e-01	-4.063595e-02	-8.705130e-02	-3.982214e-01	0.000000e+00	-3.982214e-01	3.982214e-01
0.45          	1.594924e+00	7.083174e-01	8.866062e-01	-3.565775e-01	-2.195745e-01	-1.370030e-01	-4.128578e-02	-8.914436e-02	-3.987309e-01	0.000000e+00	-3.987309e-01	3.987309e-01
0.5           	1.597270e+00	7.075669e-01	8.897030e-01	-3.642722e-01	-2.239978e-01	-1.402744e-01	-4.186167e-02	-9.106806e-02	-3.993175e-01	0.000000e+00	-3.993175e-01	3.993175e-01
0.55          	1.599517e+00	7.066158e-01	8.929015e-01	-3.725713e-01	-2.287657e-01	-1.438057e-01	-4.248000e-02	-9.314283e-02	-3.998793e-01	0.000000e+00	-3.998793e-01	3.998793e-01
0.6           	1.601158e+00	7.056376e-01	8.955203e-01	-3.797654e-01	-2.329568e-01	-1.468086e-01	-4.307410e-02	-9.494134e-02	-4.002895e-01	0.000000e+00	-4.002895e-01	4.002895e-01
0.65          	1.601248e+00	7.037319e-01	8.975159e-01	-3.875680e-01	-2.373433e-01	-1.502247e-01	-4.355930e-02	-9.689200e-02	-4.003119e-01	0.000000e+00	-4.003119e-01	4.003119e-01
0.7           	1.601841e+00	7.021083e-01	8.997327e-01	-3.952489e-01	-2.416935e-01	-1.535554e-01	-4.406904e-02	-9.881222e-02	-4.004602e-01	0.000000e+00	-4.004602e-01	4.004602e-01
0.75          	1.603076e+00	7.009055e-01	9.021707e-01	-4.025304e-01	-2.457969e-01	-1.567336e-01	-4.453166e-02	-1.006326e-01	-4.007691e-01	0.000000e+00	-4.007691e-01	4.007691e-01
0.8           	1.603745e+00	6.994960e-01	9.042492e-01	-4.095064e-01	-2.498230e-01	-1.596835e-01	-4.506975e-02	-1.023766e-01	-4.009363e-01	0.000000e+00	-4.009363e-01	4.009363e-01
0.85          	1.605090e+00	6.987029e-01	9.063869e-01	-4.153679e-01	-2.529878e-01	-1.623801e-01	-4.530386e-02	-1.038420e-01	-4.012724e-01	0.000000e+00	-4.012724e-01	4.012724e-01
0.9           	1.606931e+00	6.980044e-01	9.089268e-01	-4.218448e-01	-2.565999e-01	-1.652449e-01	-4.567752e-02	-1.054612e-01	-4.017328e-01	0.000000e+00	-4.017328e-01	4.017328e-01
0.95          	1.606646e+00	6.964219e-01	9.102246e-01	-4.276054e-01	-2.599260e-01	-1.676794e-01	-4.612327e-02	-1.069013e-01	-4.016616e-01	0.000000e+00	-4.016616e-01	4.016616e-01
1             	1.607219e+00	6.954330e-01	9.117861e-01	-4.327061e-01	-2.627507e-01	-1.699554e-01	-4.639764e-02	-1.081765e-01	-4.018048e-01	0.000000e+00	-4.018048e-01	4.018048e-01
1.05          	1.608096e+00	6.942551e-01	9.138405e-01	-4.391708e-01	-2.662814e-01	-1.728893e-01	-4.669604e-02	-1.097927e-01	-4.020239e-01	0.000000e+00	-4.020239e-01	4.020239e-01
1.1           	1.609347e+00	6.936380e-01	9.157087e-01	-4.441414e-01	-2.690267e-01	-1.751147e-01	-4.695602e-02	-1.110354e-01	-4.023367e-01	0.000000e+00	-4.023367e-01	4.023367e-01
1.15          	1.610585e+00	6.930562e-01	9.175283e-01	-4.489442e-01	-2.716112e-01	-1.773329e-01	-4.713914e-02	-1.122360e-01	-4.026461e-01	0.000000e+00	-4.026461e-01	4.026461e-01
1.2           	1.611570e+00	6.923589e-01	9.192108e-01	-4.537038e-01	-2.741743e-01	-1.795294e-01	-4.732244e-02	-1.134259e-01	-4.028924e-01	0.000000e+00	-4.028924e-01	4.028924e-01
1.25          	1.612596e+00	6.916699e-01	9.209261e-01	-4.585124e-01	-2.767151e-01	-1.817973e-01	-4.745888e-02	-1.146281e-01	-4.031490e-01	0.000000e+00	-4.031490e-01	4.031490e-01
1.3           	1.613167e+00	6.908641e-01	9.223025e-01	-4.628768e-01	-2.790285e-01	-1.838483e-01	-4.759007e-02	-1.157192e-01	-4.032916e-01	0.000000e+00	-4.032916e-01	4.032916e-01
1.35          	1.614762e+00	6.907629e-01	9.239986e-01	-4.664713e-01	-2.809593e-01	-1.855120e-01	-4.772364e-02	-1.166178e-01	-4.036904e-01	0.000000e+00	-4.036904e-01	4.036904e-01
1.4           	1.615757e+00	6.902406e-01	9.255159e-01	-4.705506e-01	-2.830812e-01	-1.874694e-01	-4.780591e-02	-1.176377e-01	-4.039391e-01	0.000000e+00	-4.039391e-01	4.039391e-01
1.45          	1.614799e+00	6.888883e-01	9.259104e-01	-4.740442e-01	-2.848932e-01	-1.891511e-01	-4.787107e-02	-1.185111e-01	-4.036997e-01	0.000000e+00	-4.036997e-01	4.036997e-01
1.5           	1.615255e+00	6.883608e-01	9.268941e-01	-4.770666e-01	-2.863591e-01	-1.907075e-01	-4.782578e-02	-1.192667e-01	-4.038137e-01	0.000000e+00	-4.038137e-01	4.038137e-01
1.55          	1.616779e+00	6.884557e-01	9.283236e-01	-4.797358e-01	-2.876796e-01	-1.920562e-01	-4.781172e-02	-1.199339e-01	-4.041948e-01	0.000000e+00	-4.041948e-01	4.041948e-01
1.6           	1.615628e+00	6.874558e-01	9.281725e-01	-4.814335e-01	-2.885539e-01	-1.928796e-01	-4.783716e-02	-1.203584e-01	-4.039071e-01	0.000000e+00	-4.039071e-01	4.039071e-01
1.65          	1.615969e+00	6.870530e-01	9.289156e-01	-4.837252e-01	-2.896241e-01	-1.941011e-01	-4.776153e-02	-1.209313e-01	-4.039921e-01	0.000000e+00	-4.039921e-01	4.039921e-01
1.7           	1.616588e+00	6.870643e-01	9.295238e-01	-4.849190e-01	-2.900942e-01	-1.948249e-01	-4.763465e-02	-1.212298e-01	-4.041470e-01	0.000000e+00	-4.041470e-01	4.041470e-01
1.75          	1.615937e+00	6.861567e-01	9.297801e-01	-4.872468e-01	-2.911151e-01	-1.961317e-01	-4.749173e-02	-1.218117e-01	-4.039842e-01	0.000000e+00	-4.039842e-01	4.039842e-01
1.8           	1.615826e+00	6.858645e-01	9.299618e-01	-4.881946e-01	-2.914839e-01	-1.967107e-01	-4.738660e-02	-1.220487e-01	-4.039566e-01	0.000000e+00	-4.039566e-01	4.039566e-01
1.85          	1.615777e+00	6.854139e-01	9.303626e-01	-4.898975e-01	-2.922468e-01	-1.976506e-01	-4.729810e-02	-1.224744e-01	-4.039441e-01	0.000000e+00	-4.039441e-01	4.039441e-01
1.9           	1.616040e+00	6.855312e-01	9.305089e-01	-4.899555e-01	-2.919134e-01	-1.980421e-01	-4.693568e-02	-1.224889e-01	-4.040100e-01	0.000000e+00	-4.040100e-01	4.040100e-01
1.95          	1.615012e+00	6.849236e-01	9.300883e-01	-4.903294e-01	-2.918870e-01	-1.984424e-01	-4.672233e-02	-1.225823e-01	-4.037530e-01	0.000000e+00	-4.037530e-01	4.037530e-01
2             	1.615941e+00	6.853011e-01	9.306397e-01	-4.906773e-01	-2.918161e-01	-1.988613e-01	-4.647741e-02	-1.226693e-01	-4.039852e-01	0.000000e+00	-4.039852e-01	4.039852e-01
2.05          	1.615455e+00	6.851417e-01	9.303132e-01	-4.903429e-01	-2.914485e-01	-1.988945e-01	-4.627700e-02	-1.225857e-01	-4.038637e-01	0.000000e+00	-4.038637e-01	4.038637e-01
2.1           	1.615007e+00	6.851425e-01	9.298647e-01	-4.894444e-01	-2.906960e-01	-1.987485e-01	-4.597375e-02	-1.223611e-01	-4.037518e-01	0.000000e+00	-4.037518e-01	4.037518e-01
2.15          	1.613937e+00	6.848202e-01	9.291163e-01	-4.885922e-01	-2.899665e-01	-1.986257e-01	-4.567044e-02	-1.221481e-01	-4.034841e-01	0.000000e+00	-4.034841e-01	4.034841e-01
2.2           	1.612990e+00	6.845868e-01	9.284033e-01	-4.876331e-01	-2.891646e-01	-1.984685e-01	-4.534808e-02	-1.219083e-01	-4.032475e-01	0.000000e+00	-4.032475e-01	4.032475e-01
2.25          	1.612931e+00	6.849744e-01	9.279570e-01	-4.859651e-01	-2.879638e-01	-1.980013e-01	-4.498128e-02	-1.214913e-01	-4.032329e-01	0.000000e+00	-4.032329e-01	4.032329e-01
2.3           	1.611362e+00	6.847077e-01	9.266539e-01	-4.838923e-01	-2.865727e-01	-1.973196e-01	-4.462652e-02	-1.209731e-01	-4.028404e-01	0.000000e+00	-4.028404e-01	4.028404e-01
2.35          	1.610972e+00	6.851801e-01	9.257917e-01	-4.812233e-01	-2.848112e-01	-1.964121e-01	-4.419959e-02	-1.203058e-01	-4.027429e-01	0.000000e+00	-4.027429e-01	4.027429e-01
2.4           	1.610861e+00	6.855849e-01	9.252763e-01	-4.793828e-01	-2.834883e-01	-1.958945e-01	-4.379693e-02	-1.198457e-01	-4.027153e-01	0.000000e+00	-4.027153e-01	4.027153e-01
2.45          	1.609629e+00	6.858440e-01	9.237848e-01	-4.758816e-01	-2.812635e-01	-1.946181e-01	-4.332269e-02	-1.189704e-01	-4.024072e-01	0.000000e+00	-4.024072e-01	4.024072e-01
2.5           	1.609288e+00	6.864457e-01	9.228426e-01	-4.727938e-01	-2.793037e-01	-1.934901e-01	-4.290677e-02	-1.181985e-01	-4.023221e-01	0.000000e+00	-4.023221e-01	4.023221e-01
2.55          	1.606902e+00	6.859074e-01	9.209946e-01	-4.701745e-01	-2.773915e-01	-1.927830e-01	-4.230428e-02	-1.175436e-01	-4.017255e-01	0.000000e+00	-4.017255e-01	4.017255e-01
2.6           	1.606574e+00	6.866808e-01	9.198928e-01	-4.664240e-01	-2.750565e-01	-1.913675e-01	-4.184446e-02	-1.166060e-01	-4.016434e-01	0.000000e+00	-4.016434e-01	4.016434e-01
2.65          	1.605330e+00	6.869842e-01	9.183463e-01	-4.627241e-01	-2.726736e-01	-1.900505e-01	-4.131153e-02	-1.156810e-01	-4.013326e-01	0.000000e+00	-4.013326e-01	4.013326e-01
2.7           	1.604120e+00	6.874314e-01	9.166883e-01	-4.585139e-01	-2.700145e-01	-1.884994e-01	-4.075757e-02	-1.146285e-01	-4.010299e-01	0.000000e+00	-4.010299e-01	4.010299e-01
2.75          	1.602509e+00	6.877465e-01	9.147629e-01	-4.540328e-01	-2.671977e-01	-1.868352e-01	-4.018126e-02	-1.135082e-01	-4.006273e-01	0.000000e+00	-4.006273e-01	4.006273e-01
