Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.025         	3.553671e+00	1.776836e+00	1.776836e+00	-1.447529e+00	-7.325843e-01	-7.149446e-01	-8.819826e-03	5.878318e-20	7.041093e-20	5.448792e-20	9.765489e-20	-4.316697e-20
0.05          	2.959549e+00	1.479775e+00	1.479775e+00	-6.122649e-01	-3.149153e-01	-2.973496e-01	-8.782880e-03	4.800483e-20	5.450909e-20	8.181033e-20	9.541426e-20	-1.360392e-20
0.075         	2.757025e+00	1.378513e+00	1.378513e+00	-3.133625e-01	-1.652660e-01	-1.480965e-01	-8.584729e-03	3.136202e-20	4.922030e-20	8.574896e-20	9.209478e-20	-6.345827e-21
0.1           	2.580246e+00	1.290123e+00	1.290123e+00	-1.833102e-01	-9.990768e-02	-8.340250e-02	-8.252588e-03	1.518950e-20	4.463096e-20	8.916214e-20	8.921203e-20	-4.988595e-23
0.125         	2.429254e+00	1.214627e+00	1.214627e+00	-1.111960e-01	-6.345525e-02	-4.774075e-02	-7.857250e-03	6.710227e-21	4.250815e-20	8.729890e-20	8.615760e-20	1.141302e-21
0.15          	2.301464e+00	1.150732e+00	1.150732e+00	-7.082833e-02	-4.285254e-02	-2.797579e-02	-7.438375e-03	4.965861e-21	4.133146e-20	8.828497e-20	8.547394e-20	2.811024e-21
0.175         	2.188873e+00	1.094437e+00	1.094437e+00	-4.627749e-02	-3.014241e-02	-1.613508e-02	-7.003661e-03	3.402697e-21	3.926497e-20	8.796012e-20	8.324503e-20	4.715085e-21
0.2           	2.093003e+00	1.046501e+00	1.046501e+00	-2.639723e-02	-1.977512e-02	-6.622116e-03	-6.576501e-03	1.065320e-21	3.683191e-20	8.917765e-20	8.142074e-20	7.756911e-21
0.225         	2.007787e+00	1.003893e+00	1.003893e+00	-1.514868e-02	-1.370899e-02	-1.439696e-03	-6.134645e-03	-1.480986e-21	3.476451e-20	8.922572e-20	7.937737e-20	9.848354e-21
0.25          	1.929211e+00	9.646057e-01	9.646057e-01	-4.887224e-03	-8.160109e-03	3.272885e-03	-5.716497e-03	-5.155505e-21	3.404858e-20	8.827918e-20	7.818817e-20	1.009101e-20
0.275         	1.861684e+00	9.308420e-01	9.308420e-01	-8.551131e-04	-5.735963e-03	4.880850e-03	-5.308407e-03	-8.335851e-21	3.361456e-20	8.768244e-20	7.745578e-20	1.022667e-20
0.3           	1.798843e+00	8.994217e-01	8.994217e-01	6.880520e-03	-1.504904e-03	8.385424e-03	-4.945164e-03	-1.165338e-20	3.301568e-20	8.776199e-20	7.689667e-20	1.086531e-20
0.325         	1.745973e+00	8.729864e-01	8.729864e-01	1.282499e-02	1.811234e-03	1.101376e-02	-4.601261e-03	-1.304349e-20	3.243285e-20	8.609437e-20	7.548004e-20	1.061433e-20
0.35          	1.696364e+00	8.481818e-01	8.481818e-01	1.576091e-02	3.609196e-03	1.215172e-02	-4.271261e-03	-1.432607e-20	3.176112e-20	8.582969e-20	7.467596e-20	1.115373e-20
0.375         	1.650021e+00	8.250104e-01	8.250104e-01	1.556444e-02	3.822918e-03	1.174152e-02	-3.959300e-03	-1.718981e-20	3.122187e-20	8.662050e-20	7.453212e-20	1.208838e-20
