Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.05          	3.009000e+00	1.504500e+00	1.504500e+00	-6.936837e-01	-3.635796e-01	-3.301041e-01	-1.673776e-02	-3.248839e-21	5.263512e-20	6.678978e-20	8.603001e-20	-1.924023e-20
0.1           	2.523664e+00	1.261832e+00	1.261832e+00	-2.890457e-01	-1.597042e-01	-1.293415e-01	-1.518138e-02	-1.217094e-20	4.302691e-20	7.993744e-20	8.299563e-20	-3.058189e-21
0.15          	2.269770e+00	1.134885e+00	1.134885e+00	-1.397045e-01	-8.325564e-02	-5.644890e-02	-1.340337e-02	-1.443915e-20	4.098132e-20	9.586177e-20	8.891220e-20	6.949568e-21
0.2           	2.072005e+00	1.036002e+00	1.036002e+00	-7.724701e-02	-5.030822e-02	-2.693879e-02	-1.168471e-02	-1.658540e-20	3.583232e-20	9.106319e-20	8.136391e-20	9.699280e-21
0.25          	1.915348e+00	9.576738e-01	9.576738e-01	-4.364003e-02	-3.192875e-02	-1.171128e-02	-1.010873e-02	-1.173963e-20	3.397934e-20	8.692261e-20	7.744064e-20	9.481969e-21
0.3           	1.773499e+00	8.867497e-01	8.867497e-01	-2.232219e-02	-1.984251e-02	-2.479681e-03	-8.681417e-03	-3.078945e-20	3.175997e-20	9.871596e-20	8.111795e-20	1.759801e-20
0.35          	1.668955e+00	8.344773e-01	8.344773e-01	-1.088993e-02	-1.281188e-02	1.921953e-03	-7.366918e-03	-3.365687e-20	3.166154e-20	8.577970e-20	7.455139e-20	1.122831e-20
0.4           	1.584183e+00	7.920915e-01	7.920915e-01	5.011459e-04	-6.127857e-03	6.629002e-03	-6.378429e-03	-3.611462e-20	3.073335e-20	8.498202e-20	7.322436e-20	1.175766e-20
0.45          	1.518773e+00	7.593865e-01	7.593865e-01	4.595974e-04	-5.298205e-03	5.757802e-03	-5.528004e-03	-3.840031e-20	3.055194e-20	8.175575e-20	7.142982e-20	1.032594e-20
0.5           	1.455444e+00	7.277222e-01	7.277222e-01	8.317387e-03	-6.581440e-04	8.975531e-03	-4.816838e-03	-4.811502e-20	3.034743e-20	7.058506e-20	6.563996e-20	4.945100e-21
0.55          	1.413205e+00	7.066025e-01	7.066025e-01	9.344981e-03	4.997898e-04	8.845191e-03	-4.172701e-03	-4.644040e-20	2.565508e-20	8.434373e-20	6.782695e-20	1.651678e-20
0.6           	1.370913e+00	6.854566e-01	6.854566e-01	7.900468e-03	3.276476e-04	7.572821e-03	-3.622587e-03	-5.097908e-20	2.471645e-20	8.351792e-20	6.647541e-20	1.704251e-20
0.65          	1.348187e+00	6.740937e-01	6.740937e-01	1.654535e-02	5.099054e-03	1.144630e-02	-3.173622e-03	-5.119738e-20	2.205347e-20	8.888495e-20	6.649595e-20	2.238901e-20
0.7           	1.319632e+00	6.598162e-01	6.598162e-01	1.965891e-02	6.974560e-03	1.268435e-02	-2.854895e-03	-5.225027e-20	2.272410e-20	8.685275e-20	6.615048e-20	2.070228e-20
