Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.025         	4.384975e+00	2.192488e+00	2.192488e+00	-1.349935e+00	-6.949397e-01	-6.549953e-01	-1.997223e-02	-3.021413e-20	-4.318753e-20	-3.461337e-20	-6.049422e-20	2.588085e-20
0.05          	3.740596e+00	1.870298e+00	1.870298e+00	-5.724669e-01	-3.031730e-01	-2.692938e-01	-1.693961e-02	-1.477852e-20	-3.804038e-20	-4.035975e-20	-5.822025e-20	1.786051e-20
0.075         	3.276386e+00	1.638193e+00	1.638193e+00	-3.068506e-01	-1.676354e-01	-1.392153e-01	-1.421004e-02	-9.962260e-21	-3.366909e-20	-4.376175e-20	-5.554997e-20	1.178822e-20
0.1           	2.906781e+00	1.453391e+00	1.453391e+00	-1.859168e-01	-1.048215e-01	-8.109533e-02	-1.186308e-02	-8.403711e-21	-3.039683e-20	-4.476186e-20	-5.277776e-20	8.015905e-21
0.125         	2.613129e+00	1.306564e+00	1.306564e+00	-1.226310e-01	-7.120326e-02	-5.142773e-02	-9.887769e-03	-8.044416e-21	-2.749799e-20	-4.550281e-20	-5.024939e-20	4.746587e-21
0.15          	2.377121e+00	1.188560e+00	1.188560e+00	-8.377292e-02	-5.013101e-02	-3.364191e-02	-8.244550e-03	-7.770820e-21	-2.505585e-20	-4.616821e-20	-4.813996e-20	1.971744e-21
0.175         	2.186121e+00	1.093061e+00	1.093061e+00	-5.883850e-02	-3.630645e-02	-2.253205e-02	-6.887199e-03	-7.390192e-21	-2.313351e-20	-4.656158e-20	-4.641430e-20	-1.472792e-22
0.2           	2.030050e+00	1.015025e+00	1.015025e+00	-4.221804e-02	-2.687973e-02	-1.533831e-02	-5.770712e-03	-7.068957e-21	-2.160002e-20	-4.680283e-20	-4.500143e-20	-1.801397e-21
0.225         	1.901422e+00	9.507109e-01	9.507109e-01	-2.982075e-02	-1.976475e-02	-1.005599e-02	-4.854379e-03	-6.800193e-21	-2.040329e-20	-4.690008e-20	-4.385333e-20	-3.046746e-21
0.25          	1.794258e+00	8.971289e-01	8.971289e-01	-2.113951e-02	-1.467286e-02	-6.466659e-03	-4.103098e-03	-6.740132e-21	-1.942115e-20	-4.699893e-20	-4.292062e-20	-4.078316e-21
0.275         	1.704211e+00	8.521054e-01	8.521054e-01	-1.433525e-02	-1.065448e-02	-3.680769e-03	-3.486856e-03	-6.844886e-21	-1.860653e-20	-4.706480e-20	-4.213893e-20	-4.925864e-21
0.3           	1.627884e+00	8.139421e-01	8.139421e-01	-9.064314e-03	-7.512867e-03	-1.551448e-03	-2.980709e-03	-7.079145e-21	-1.791536e-20	-4.710654e-20	-4.146863e-20	-5.637914e-21
0.325         	1.562956e+00	7.814781e-01	7.814781e-01	-4.208853e-03	-4.668695e-03	4.598422e-04	-2.564269e-03	-7.338094e-21	-1.735282e-20	-4.706447e-20	-4.088505e-20	-6.179412e-21
0.35          	1.507508e+00	7.537538e-01	7.537538e-01	-7.020561e-04	-2.571822e-03	1.869766e-03	-2.220794e-03	-7.645878e-21	-1.686950e-20	-4.702807e-20	-4.038353e-20	-6.644537e-21
