Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.1           	2.473179e+00	1.236589e+00	1.236589e+00	-2.791683e-01	-1.545052e-01	-1.246631e-01	-1.492102e-02	-5.300295e-21	4.086008e-20	9.183323e-20	8.677669e-20	5.056540e-21
0.2           	2.037185e+00	1.018592e+00	1.018592e+00	-8.436891e-02	-5.388763e-02	-3.048128e-02	-1.170318e-02	-2.518610e-20	3.632782e-20	8.578961e-20	7.922263e-20	6.566979e-21
0.3           	1.748569e+00	8.742846e-01	8.742846e-01	-3.100162e-02	-2.444483e-02	-6.556781e-03	-8.944027e-03	-3.069503e-20	3.167037e-20	8.518137e-20	7.426105e-20	1.092032e-20
0.4           	1.557835e+00	7.789174e-01	7.789174e-01	-1.123863e-02	-1.241474e-02	1.176112e-03	-6.795425e-03	-3.485287e-20	2.966761e-20	8.262147e-20	7.097834e-20	1.164313e-20
0.5           	1.432403e+00	7.162015e-01	7.162015e-01	-5.975203e-04	-5.484608e-03	4.887088e-03	-5.185848e-03	-3.792214e-20	2.844489e-20	8.181740e-20	6.935359e-20	1.246381e-20
0.6           	1.348978e+00	6.744891e-01	6.744891e-01	4.027471e-03	-1.984113e-03	6.011585e-03	-3.997849e-03	-4.246431e-20	2.828839e-20	8.052191e-20	6.854934e-20	1.197257e-20
0.7           	1.290521e+00	6.452607e-01	6.452607e-01	8.890661e-03	1.321107e-03	7.569553e-03	-3.124223e-03	-4.690309e-20	2.788075e-20	7.927949e-20	6.752050e-20	1.175899e-20
0.8           	1.255417e+00	6.277087e-01	6.277087e-01	1.174861e-02	3.388806e-03	8.359807e-03	-2.485500e-03	-5.226039e-20	2.885810e-20	7.887640e-20	6.829630e-20	1.058010e-20
0.9           	1.237249e+00	6.186247e-01	6.186247e-01	1.265698e-02	4.310072e-03	8.346912e-03	-2.018420e-03	-5.817165e-20	3.008013e-20	7.821528e-20	6.918777e-20	9.027513e-21
1             	1.224063e+00	6.120316e-01	6.120316e-01	1.402511e-02	5.338402e-03	8.686711e-03	-1.674155e-03	-6.423981e-20	3.100993e-20	7.754002e-20	6.977993e-20	7.760082e-21
1.1           	1.221066e+00	6.105328e-01	6.105328e-01	1.438409e-02	5.775766e-03	8.608322e-03	-1.416278e-03	-7.079388e-20	3.173913e-20	7.656227e-20	7.002027e-20	6.542005e-21
1.2           	1.225003e+00	6.125015e-01	6.125015e-01	1.494058e-02	6.247089e-03	8.693494e-03	-1.223203e-03	-7.743617e-20	3.298611e-20	7.577548e-20	7.087385e-20	4.901635e-21
1.3           	1.232435e+00	6.162177e-01	6.162177e-01	1.511168e-02	6.480280e-03	8.631396e-03	-1.075558e-03	-8.487957e-20	3.458965e-20	7.556609e-20	7.237270e-20	3.193390e-21
1.4           	1.243140e+00	6.215700e-01	6.215700e-01	1.493995e-02	6.505100e-03	8.434851e-03	-9.648756e-04	-9.236944e-20	3.551914e-20	7.460713e-20	7.282271e-20	1.784423e-21
1.5           	1.255314e+00	6.276569e-01	6.276569e-01	1.543591e-02	6.838235e-03	8.597671e-03	-8.797177e-04	-9.998372e-20	3.688094e-20	7.409385e-20	7.392787e-20	1.659801e-22
1.6           	1.269522e+00	6.347608e-01	6.347608e-01	1.629330e-02	7.335542e-03	8.957760e-03	-8.111093e-04	-1.075846e-19	3.829808e-20	7.358783e-20	7.509200e-20	-1.504169e-21
1.7           	1.285921e+00	6.429603e-01	6.429603e-01	1.473074e-02	6.607733e-03	8.123010e-03	-7.576385e-04	-1.152104e-19	3.927071e-20	7.262527e-20	7.558334e-20	-2.958073e-21
1.8           	1.301216e+00	6.506080e-01	6.506080e-01	1.490714e-02	6.736150e-03	8.170992e-03	-7.174209e-04	-1.226868e-19	4.045208e-20	7.204478e-20	7.647447e-20	-4.429686e-21
1.9           	1.317780e+00	6.588902e-01	6.588902e-01	1.503147e-02	6.828553e-03	8.202916e-03	-6.871815e-04	-1.300705e-19	4.154963e-20	7.128214e-20	7.719070e-20	-5.908561e-21
2             	1.333107e+00	6.665534e-01	6.665534e-01	1.462773e-02	6.653637e-03	7.974091e-03	-6.602270e-04	-1.370545e-19	4.240556e-20	7.033976e-20	7.757544e-20	-7.235680e-21
2.1           	1.348894e+00	6.744469e-01	6.744469e-01	1.478381e-02	6.755299e-03	8.028516e-03	-6.366083e-04	-1.438904e-19	4.339559e-20	6.964170e-20	7.821643e-20	-8.574737e-21
2.2           	1.362805e+00	6.814023e-01	6.814023e-01	1.489297e-02	6.830330e-03	8.062639e-03	-6.161548e-04	-1.503039e-19	4.451041e-20	6.904973e-20	7.903528e-20	-9.985546e-21
2.3           	1.376848e+00	6.884240e-01	6.884240e-01	1.496832e-02	6.886388e-03	8.081932e-03	-5.977722e-04	-1.565248e-19	4.510316e-20	6.795325e-20	7.907979e-20	-1.112654e-20
2.4           	1.389470e+00	6.947348e-01	6.947348e-01	1.400015e-02	6.419988e-03	7.580164e-03	-5.800879e-04	-1.619010e-19	4.610836e-20	6.748304e-20	7.984988e-20	-1.236684e-20
2.5           	1.400964e+00	7.004821e-01	7.004821e-01	1.302826e-02	5.948813e-03	7.079451e-03	-5.653188e-04	-1.670399e-19	4.678712e-20	6.671340e-20	8.014382e-20	-1.343041e-20
2.6           	1.410047e+00	7.050234e-01	7.050234e-01	1.354788e-02	6.219940e-03	7.327943e-03	-5.540016e-04	-1.715629e-19	4.741397e-20	6.589270e-20	8.036032e-20	-1.446762e-20
2.7           	1.419078e+00	7.095390e-01	7.095390e-01	1.338363e-02	6.147224e-03	7.236409e-03	-5.445929e-04	-1.757483e-19	4.764508e-20	6.467064e-20	7.998040e-20	-1.530976e-20
2.8           	1.426165e+00	7.130826e-01	7.130826e-01	1.260245e-02	5.764640e-03	6.837808e-03	-5.365838e-04	-1.794198e-19	4.852444e-20	6.436970e-20	8.070930e-20	-1.633959e-20
2.9           	1.432156e+00	7.160778e-01	7.160778e-01	1.159999e-02	5.270823e-03	6.329167e-03	-5.291719e-04	-1.826499e-19	4.895801e-20	6.365078e-20	8.078340e-20	-1.713263e-20
3             	1.436707e+00	7.183535e-01	7.183535e-01	1.079441e-02	4.875304e-03	5.919108e-03	-5.219021e-04	-1.855336e-19	4.943498e-20	6.296802e-20	8.091899e-20	-1.795097e-20
3.1           	1.440737e+00	7.203686e-01	7.203686e-01	1.132443e-02	5.147406e-03	6.177028e-03	-5.148110e-04	-1.880272e-19	4.978338e-20	6.220335e-20	8.088506e-20	-1.868170e-20
3.2           	1.441639e+00	7.208197e-01	7.208197e-01	9.335455e-03	4.160172e-03	5.175283e-03	-5.075558e-04	-1.897749e-19	5.004080e-20	6.154446e-20	8.081303e-20	-1.926857e-20
3.3           	1.442340e+00	7.211699e-01	7.211699e-01	9.065972e-03	4.034927e-03	5.031045e-03	-4.980589e-04	-1.913995e-19	5.031282e-20	6.088256e-20	8.075410e-20	-1.987154e-20
3.4           	1.442207e+00	7.211037e-01	7.211037e-01	8.973280e-03	3.999566e-03	4.973714e-03	-4.870739e-04	-1.927800e-19	5.055958e-20	6.025546e-20	8.068730e-20	-2.043185e-20
3.5           	1.439839e+00	7.199196e-01	7.199196e-01	7.447424e-03	3.248427e-03	4.198997e-03	-4.752854e-04	-1.935850e-19	5.074030e-20	5.962739e-20	8.055400e-20	-2.092661e-20
3.6           	1.436781e+00	7.183905e-01	7.183905e-01	6.954018e-03	3.013897e-03	3.940121e-03	-4.631117e-04	-1.941703e-19	5.089514e-20	5.904299e-20	8.041663e-20	-2.137364e-20
3.7           	1.433373e+00	7.166866e-01	7.166866e-01	6.194810e-03	2.646861e-03	3.547949e-03	-4.505442e-04	-1.946123e-19	5.086403e-20	5.829152e-20	8.000979e-20	-2.171827e-20
3.8           	1.429708e+00	7.148539e-01	7.148539e-01	4.687609e-03	1.905677e-03	2.781931e-03	-4.381270e-04	-1.948708e-19	5.093289e-20	5.776806e-20	7.981692e-20	-2.204886e-20
3.9           	1.423458e+00	7.117289e-01	7.117289e-01	4.740138e-03	1.943804e-03	2.796334e-03	-4.262650e-04	-1.946984e-19	5.085258e-20	5.705562e-20	7.938039e-20	-2.232477e-20
4             	1.418286e+00	7.091432e-01	7.091432e-01	2.914644e-03	1.042408e-03	1.872236e-03	-4.149142e-04	-1.945700e-19	5.070271e-20	5.641622e-20	7.891082e-20	-2.249460e-20
4.1           	1.412622e+00	7.063111e-01	7.063111e-01	2.379265e-03	7.852844e-04	1.593980e-03	-4.043480e-04	-1.943514e-19	5.070489e-20	5.591763e-20	7.866370e-20	-2.274608e-20
4.2           	1.404900e+00	7.024498e-01	7.024498e-01	2.040535e-03	6.259530e-04	1.414582e-03	-3.943143e-04	-1.938618e-19	5.048630e-20	5.518540e-20	7.807900e-20	-2.289360e-20
4.3           	1.398186e+00	6.990932e-01	6.990932e-01	1.491338e-03	3.608389e-04	1.130499e-03	-3.848301e-04	-1.934378e-19	5.034733e-20	5.458990e-20	7.764228e-20	-2.305238e-20
4.4           	1.390570e+00	6.952850e-01	6.952850e-01	4.099935e-04	-1.709266e-04	5.809202e-04	-3.759234e-04	-1.928438e-19	5.015636e-20	5.398538e-20	7.714905e-20	-2.316367e-20
4.5           	1.383000e+00	6.915000e-01	6.915000e-01	-8.551021e-04	-7.950422e-04	-6.005987e-05	-3.674912e-04	-1.922924e-19	4.995621e-20	5.332271e-20	7.661756e-20	-2.329485e-20
4.6           	1.376318e+00	6.881588e-01	6.881588e-01	2.365223e-05	-3.475427e-04	3.711949e-04	-3.593688e-04	-1.917474e-19	4.986639e-20	5.286625e-20	7.629952e-20	-2.343326e-20
4.7           	1.369470e+00	6.847351e-01	6.847351e-01	-1.569144e-03	-1.135724e-03	-4.334196e-04	-3.511521e-04	-1.911132e-19	4.968883e-20	5.237623e-20	7.587694e-20	-2.350072e-20
4.8           	1.362540e+00	6.812700e-01	6.812700e-01	-1.620613e-03	-1.153096e-03	-4.675169e-04	-3.427894e-04	-1.905612e-19	4.954305e-20	5.189086e-20	7.548848e-20	-2.359762e-20
4.9           	1.355117e+00	6.775587e-01	6.775587e-01	-2.100087e-03	-1.384133e-03	-7.159532e-04	-3.340901e-04	-1.899497e-19	4.930715e-20	5.127156e-20	7.494292e-20	-2.367137e-20
5             	1.347821e+00	6.739105e-01	6.739105e-01	-2.835125e-03	-1.742558e-03	-1.092567e-03	-3.249956e-04	-1.893114e-19	4.911112e-20	5.074388e-20	7.448306e-20	-2.373918e-20
5.1           	1.341485e+00	6.707424e-01	6.707424e-01	-3.215607e-03	-1.923164e-03	-1.292444e-03	-3.153599e-04	-1.887829e-19	4.892439e-20	5.023889e-20	7.404384e-20	-2.380495e-20
5.2           	1.335210e+00	6.676048e-01	6.676048e-01	-3.657187e-03	-2.133712e-03	-1.523475e-03	-3.051187e-04	-1.882640e-19	4.872916e-20	4.972284e-20	7.359058e-20	-2.386775e-20
5.3           	1.328948e+00	6.644742e-01	6.644742e-01	-3.596143e-03	-2.092416e-03	-1.503727e-03	-2.943444e-04	-1.877738e-19	4.858093e-20	4.925945e-20	7.321065e-20	-2.395120e-20
5.4           	1.323033e+00	6.615163e-01	6.615163e-01	-4.267301e-03	-2.416527e-03	-1.850774e-03	-2.828763e-04	-1.873084e-19	4.835806e-20	4.873706e-20	7.272658e-20	-2.398953e-20
5.5           	1.317243e+00	6.586213e-01	6.586213e-01	-4.338553e-03	-2.440070e-03	-1.898484e-03	-2.707932e-04	-1.869070e-19	4.817260e-20	4.825076e-20	7.229798e-20	-2.404722e-20
5.6           	1.311878e+00	6.559389e-01	6.559389e-01	-4.749562e-03	-2.632969e-03	-2.116593e-03	-2.581883e-04	-1.864888e-19	4.798656e-20	4.778949e-20	7.188131e-20	-2.409182e-20
5.7           	1.306390e+00	6.531952e-01	6.531952e-01	-4.775464e-03	-2.632860e-03	-2.142604e-03	-2.451284e-04	-1.861167e-19	4.778320e-20	4.727046e-20	7.141843e-20	-2.414797e-20
5.8           	1.301565e+00	6.507825e-01	6.507825e-01	-5.002445e-03	-2.732906e-03	-2.269539e-03	-2.316837e-04	-1.857536e-19	4.761903e-20	4.684437e-20	7.104121e-20	-2.419684e-20
5.9           	1.296851e+00	6.484255e-01	6.484255e-01	-5.299256e-03	-2.867479e-03	-2.431777e-03	-2.178513e-04	-1.854217e-19	4.745175e-20	4.641947e-20	7.066148e-20	-2.424202e-20
6             	1.292167e+00	6.460836e-01	6.460836e-01	-5.381536e-03	-2.894427e-03	-2.487109e-03	-2.036588e-04	-1.850888e-19	4.729042e-20	4.600844e-20	7.029464e-20	-2.428620e-20
6.1           	1.287723e+00	6.438616e-01	6.438616e-01	-5.548718e-03	-2.963492e-03	-2.585226e-03	-1.891331e-04	-1.847700e-19	4.713269e-20	4.561083e-20	6.993810e-20	-2.432727e-20
6.2           	1.283134e+00	6.415670e-01	6.415670e-01	-5.172125e-03	-2.760328e-03	-2.411797e-03	-1.742657e-04	-1.844759e-19	4.701393e-20	4.522226e-20	6.962506e-20	-2.440280e-20
6.3           	1.278825e+00	6.394127e-01	6.394127e-01	-5.259967e-03	-2.788961e-03	-2.471005e-03	-1.589779e-04	-1.841788e-19	4.686591e-20	4.483949e-20	6.928565e-20	-2.444616e-20
6.4           	1.274839e+00	6.374197e-01	6.374197e-01	-5.227394e-03	-2.756988e-03	-2.470406e-03	-1.432907e-04	-1.838931e-19	4.672396e-20	4.449682e-20	6.897237e-20	-2.447554e-20
6.5           	1.270851e+00	6.354253e-01	6.354253e-01	-5.057310e-03	-2.655830e-03	-2.401481e-03	-1.271746e-04	-1.836279e-19	4.660419e-20	4.414201e-20	6.867520e-20	-2.453319e-20
6.6           	1.266928e+00	6.334639e-01	6.334639e-01	-4.738038e-03	-2.479807e-03	-2.258231e-03	-1.107877e-04	-1.833538e-19	4.646931e-20	4.379790e-20	6.836827e-20	-2.457036e-20
6.7           	1.263103e+00	6.315517e-01	6.315517e-01	-4.309883e-03	-2.249334e-03	-2.060548e-03	-9.439318e-05	-1.831098e-19	4.637092e-20	4.348314e-20	6.811249e-20	-2.462935e-20
6.8           	1.259293e+00	6.296465e-01	6.296465e-01	-3.874580e-03	-2.015146e-03	-1.859434e-03	-7.785624e-05	-1.828633e-19	4.626858e-20	4.317348e-20	6.785532e-20	-2.468184e-20
6.9           	1.255638e+00	6.278190e-01	6.278190e-01	-3.852346e-03	-1.987299e-03	-1.865047e-03	-6.112601e-05	-1.826199e-19	4.614401e-20	4.284746e-20	6.756774e-20	-2.472028e-20
7             	1.252088e+00	6.260439e-01	6.260439e-01	-3.449246e-03	-1.768894e-03	-1.680352e-03	-4.427115e-05	-1.823860e-19	4.604922e-20	4.256250e-20	6.733047e-20	-2.476797e-20
7.1           	1.247812e+00	6.239058e-01	6.239058e-01	-2.974155e-03	-1.514384e-03	-1.459771e-03	-2.730650e-05	-1.821256e-19	4.592173e-20	4.217640e-20	6.700993e-20	-2.483352e-20
