Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.1           	2.592600e+00	1.296300e+00	1.296300e+00	-2.819346e-01	-1.553161e-01	-1.266186e-01	-1.434875e-02	1.463645e-20	4.512216e-20	8.780798e-20	8.902615e-20	-1.218166e-21
0.2           	2.122696e+00	1.061348e+00	1.061348e+00	-7.055112e-02	-4.631616e-02	-2.423495e-02	-1.104060e-02	-5.407140e-21	3.829628e-20	8.913754e-20	8.286505e-20	6.272489e-21
0.3           	1.827079e+00	9.135395e-01	9.135395e-01	-1.968389e-02	-1.816987e-02	-1.514022e-03	-8.327924e-03	-1.671759e-20	3.313628e-20	8.159689e-20	7.393472e-20	7.662172e-21
0.4           	1.631220e+00	8.156102e-01	8.156102e-01	6.060157e-04	-5.892137e-03	6.498152e-03	-6.195144e-03	-2.320137e-20	3.080794e-20	8.437390e-20	7.299490e-20	1.137901e-20
0.5           	1.506021e+00	7.530103e-01	7.530103e-01	9.909105e-03	3.059996e-04	9.603105e-03	-4.648553e-03	-3.327490e-20	2.956231e-20	8.196751e-20	7.054606e-20	1.142144e-20
0.6           	1.425420e+00	7.127098e-01	7.127098e-01	1.426247e-02	3.599823e-03	1.066265e-02	-3.531413e-03	-4.141037e-20	2.922402e-20	8.028842e-20	6.936822e-20	1.092019e-20
0.7           	1.365491e+00	6.827454e-01	6.827454e-01	1.461859e-02	4.529920e-03	1.008867e-02	-2.779378e-03	-5.142666e-20	2.925413e-20	7.975506e-20	6.913166e-20	1.062340e-20
0.8           	1.330355e+00	6.651776e-01	6.651776e-01	1.550502e-02	5.512281e-03	9.992741e-03	-2.240230e-03	-6.032042e-20	3.102144e-20	7.972622e-20	7.088455e-20	8.841670e-21
0.9           	1.314318e+00	6.571592e-01	6.571592e-01	1.751999e-02	6.901575e-03	1.061842e-02	-1.858422e-03	-6.728844e-20	3.268636e-20	7.874726e-20	7.205999e-20	6.687268e-21
1             	1.297835e+00	6.489177e-01	6.489177e-01	1.821557e-02	7.552667e-03	1.066291e-02	-1.555120e-03	-7.862997e-20	3.312766e-20	7.830712e-20	7.228122e-20	6.025901e-21
1.1           	1.292653e+00	6.463267e-01	6.463267e-01	1.976469e-02	8.570053e-03	1.119464e-02	-1.312292e-03	-8.665082e-20	3.365296e-20	7.785437e-20	7.258014e-20	5.274229e-21
1.2           	1.293678e+00	6.468389e-01	6.468389e-01	1.863508e-02	8.153038e-03	1.048205e-02	-1.164503e-03	-9.335357e-20	3.529636e-20	7.577586e-20	7.318429e-20	2.591566e-21
1.3           	1.297336e+00	6.486680e-01	6.486680e-01	1.783412e-02	7.893824e-03	9.940301e-03	-1.023239e-03	-9.925539e-20	3.676965e-20	7.335958e-20	7.344944e-20	-8.985522e-23
1.4           	1.306616e+00	6.533079e-01	6.533079e-01	1.883373e-02	8.444389e-03	1.038935e-02	-9.724782e-04	-1.066467e-19	3.860298e-20	7.585325e-20	7.652961e-20	-6.763599e-22
