Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.025         	3.036191e+00	1.518095e+00	1.518095e+00	-1.403748e+00	-7.060940e-01	-6.976538e-01	-4.220134e-03	-1.083549e-20	4.393290e-22	1.337206e-20	7.125360e-21	6.246702e-21
0.05          	2.103786e+00	1.051893e+00	1.051893e+00	-6.611805e-01	-3.351786e-01	-3.260019e-01	-4.588339e-03	-1.990864e-20	2.536945e-21	-7.637184e-21	-1.281647e-21	-6.355537e-21
0.075         	2.011155e+00	1.005578e+00	1.005578e+00	-3.593376e-01	-1.845215e-01	-1.748160e-01	-4.852746e-03	-1.471347e-20	1.551114e-21	-8.782952e-21	-2.840361e-21	-5.942590e-21
0.1           	1.953401e+00	9.767004e-01	9.767004e-01	-2.104212e-01	-1.102559e-01	-1.001653e-01	-5.045272e-03	7.812652e-22	5.252840e-21	-1.244562e-20	-9.699701e-22	-1.147565e-20
0.125         	1.893463e+00	9.467315e-01	9.467315e-01	-1.367134e-01	-7.353968e-02	-6.317377e-02	-5.182956e-03	1.991491e-20	5.643779e-21	-1.146749e-20	-8.996405e-23	-1.137752e-20
0.15          	1.836504e+00	9.182522e-01	9.182522e-01	-9.419141e-02	-5.237334e-02	-4.181808e-02	-5.277631e-03	3.306295e-20	4.186978e-21	-8.185066e-21	9.444507e-23	-8.279511e-21
0.175         	1.782269e+00	8.911345e-01	8.911345e-01	-6.664927e-02	-3.866200e-02	-2.798727e-02	-5.337366e-03	4.208874e-20	2.731026e-21	-5.569632e-21	-5.379027e-23	-5.515842e-21
0.2           	1.732640e+00	8.663201e-01	8.663201e-01	-4.931082e-02	-3.002355e-02	-1.928728e-02	-5.368137e-03	4.777376e-20	1.851863e-21	-4.280895e-21	-2.885847e-22	-3.992310e-21
0.225         	1.687342e+00	8.436711e-01	8.436711e-01	-3.510766e-02	-2.292855e-02	-1.217911e-02	-5.374719e-03	5.187436e-20	1.295198e-21	-3.617877e-21	-5.137403e-22	-3.104137e-21
0.25          	1.646608e+00	8.233041e-01	8.233041e-01	-2.504682e-02	-1.788418e-02	-7.162639e-03	-5.360768e-03	5.481217e-20	4.209346e-22	-2.917682e-21	-1.037906e-21	-1.879776e-21
0.275         	1.609574e+00	8.047868e-01	8.047868e-01	-1.690568e-02	-1.378247e-02	-3.123211e-03	-5.329628e-03	5.744146e-20	-9.708734e-23	-2.630378e-21	-1.412277e-21	-1.218102e-21
0.3           	1.575670e+00	7.878351e-01	7.878351e-01	-1.050569e-02	-1.053699e-02	3.129622e-05	-5.284142e-03	6.025325e-20	-3.487704e-22	-2.700536e-21	-1.699038e-21	-1.001497e-21
0.325         	1.544911e+00	7.724556e-01	7.724556e-01	-5.871609e-03	-8.162606e-03	2.290997e-03	-5.226802e-03	6.242645e-20	-6.729041e-22	-1.974259e-21	-1.660034e-21	-3.142255e-22
0.35          	1.516710e+00	7.583551e-01	7.583551e-01	-2.350865e-03	-6.336022e-03	3.985157e-03	-5.160590e-03	6.557779e-20	-8.738362e-22	-1.959603e-21	-1.853638e-21	-1.059655e-22
0.375         	1.490842e+00	7.454208e-01	7.454208e-01	7.758796e-04	-4.699699e-03	5.475578e-03	-5.087638e-03	6.907745e-20	-1.055343e-21	-1.978953e-21	-2.044820e-21	6.586605e-23
0.4           	1.467097e+00	7.335486e-01	7.335486e-01	3.597848e-03	-3.210585e-03	6.808433e-03	-5.009509e-03	7.280462e-20	-1.298906e-21	-1.917778e-21	-2.257795e-21	3.400172e-22
0.425         	1.445186e+00	7.225932e-01	7.225932e-01	5.126560e-03	-2.364216e-03	7.490776e-03	-4.927496e-03	7.688459e-20	-1.744720e-21	-1.588230e-21	-2.538835e-21	9.506045e-22
0.45          	1.424977e+00	7.124887e-01	7.124887e-01	6.973430e-03	-1.355855e-03	8.329285e-03	-4.842570e-03	8.115083e-20	-2.126878e-21	-1.176231e-21	-2.714993e-21	1.538762e-21
0.475         	1.407010e+00	7.035050e-01	7.035050e-01	8.300347e-03	-6.052510e-04	8.905598e-03	-4.755424e-03	8.370336e-20	-2.433867e-21	-1.266845e-21	-3.067290e-21	1.800445e-21
0.5           	1.390112e+00	6.950562e-01	6.950562e-01	1.125135e-02	9.593661e-04	1.029198e-02	-4.666308e-03	8.774852e-20	-2.486468e-21	-1.247851e-21	-3.110394e-21	1.862543e-21
0.525         	1.374549e+00	6.872747e-01	6.872747e-01	1.362543e-02	2.237107e-03	1.138832e-02	-4.575608e-03	9.200253e-20	-2.567476e-21	-1.279379e-21	-3.207166e-21	1.927787e-21
0.55          	1.360312e+00	6.801562e-01	6.801562e-01	1.429829e-02	2.665308e-03	1.163298e-02	-4.483838e-03	9.637163e-20	-2.861914e-21	-1.170127e-21	-3.446977e-21	2.276850e-21
0.575         	1.347333e+00	6.736666e-01	6.736666e-01	1.517892e-02	3.198057e-03	1.198086e-02	-4.391402e-03	1.008452e-19	-3.087668e-21	-1.081479e-21	-3.628408e-21	2.546928e-21
0.6           	1.335761e+00	6.678807e-01	6.678807e-01	1.652358e-02	3.963231e-03	1.256035e-02	-4.298559e-03	1.046417e-19	-3.110891e-21	-1.722542e-21	-3.972162e-21	2.249620e-21
0.625         	1.324903e+00	6.624517e-01	6.624517e-01	1.715514e-02	4.372186e-03	1.278296e-02	-4.205385e-03	1.092927e-19	-3.302379e-21	-1.598809e-21	-4.101784e-21	2.502975e-21
0.65          	1.315083e+00	6.575415e-01	6.575415e-01	1.772544e-02	4.750546e-03	1.297489e-02	-4.112172e-03	1.139317e-19	-3.473136e-21	-1.532905e-21	-4.239588e-21	2.706683e-21
0.675         	1.306119e+00	6.530595e-01	6.530595e-01	1.822159e-02	5.091590e-03	1.313000e-02	-4.019206e-03	1.186173e-19	-3.633464e-21	-1.470677e-21	-4.368802e-21	2.898126e-21
0.7           	1.297920e+00	6.489602e-01	6.489602e-01	1.865453e-02	5.400525e-03	1.325400e-02	-3.926738e-03	1.233555e-19	-3.785000e-21	-1.412590e-21	-4.491295e-21	3.078705e-21
0.725         	1.290451e+00	6.452255e-01	6.452255e-01	1.905847e-02	5.694252e-03	1.336421e-02	-3.834981e-03	1.281382e-19	-3.924522e-21	-1.345905e-21	-4.597474e-21	3.251569e-21
0.75          	1.283805e+00	6.419027e-01	6.419027e-01	1.960520e-02	6.058488e-03	1.354672e-02	-3.744114e-03	1.328381e-19	-4.026242e-21	-1.192339e-21	-4.622411e-21	3.430072e-21
0.775         	1.278321e+00	6.391604e-01	6.391604e-01	2.020323e-02	6.447325e-03	1.375590e-02	-3.654289e-03	1.373504e-19	-4.151865e-21	-1.056981e-21	-4.680355e-21	3.623374e-21
0.8           	1.274340e+00	6.371700e-01	6.371700e-01	2.044555e-02	6.657168e-03	1.378838e-02	-3.565607e-03	1.416864e-19	-3.970159e-21	-6.356563e-22	-4.287987e-21	3.652331e-21
0.825         	1.266914e+00	6.334569e-01	6.334569e-01	2.053520e-02	6.789430e-03	1.374577e-02	-3.478169e-03	1.453383e-19	-2.801736e-21	7.783810e-22	-2.412546e-21	3.190927e-21
0.85          	1.261925e+00	6.309626e-01	6.309626e-01	2.088175e-02	7.048688e-03	1.383306e-02	-3.392187e-03	1.489613e-19	-3.861326e-21	-1.985528e-22	-3.960602e-21	3.762050e-21
0.875         	1.259581e+00	6.297907e-01	6.297907e-01	1.832707e-02	5.855525e-03	1.247154e-02	-3.308010e-03	1.531595e-19	-4.903108e-21	-9.145021e-22	-5.360359e-21	4.445857e-21
0.9           	1.255769e+00	6.278846e-01	6.278846e-01	2.288977e-02	8.219185e-03	1.467058e-02	-3.225699e-03	1.568952e-19	-3.975418e-21	1.641074e-22	-3.893365e-21	4.057472e-21
0.925         	1.256035e+00	6.280175e-01	6.280175e-01	1.988418e-02	6.797765e-03	1.308642e-02	-3.144326e-03	1.599055e-19	-2.499551e-21	2.699428e-21	-1.149837e-21	3.849265e-21
0.95          	1.253219e+00	6.266097e-01	6.266097e-01	1.997203e-02	6.920873e-03	1.305115e-02	-3.065140e-03	1.637373e-19	-2.317407e-21	2.844963e-21	-8.949255e-22	3.739888e-21
