# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.5           	1.564955e+00	8.452692e-01	7.196854e-01	2.511675e-01	1.440063e-01	1.071612e-01	1.842255e-02	6.279188e-02	-3.912387e-01	0.000000e+00	-3.912387e-01	3.912387e-01
1             	1.552377e+00	8.110371e-01	7.413397e-01	1.393948e-01	7.652306e-02	6.287178e-02	6.825640e-03	3.484871e-02	-3.880942e-01	0.000000e+00	-3.880942e-01	3.880942e-01
1.5           	1.549020e+00	7.795215e-01	7.694988e-01	2.004541e-02	4.796771e-03	1.524864e-02	-5.225936e-03	5.011354e-03	-3.872551e-01	0.000000e+00	-3.872551e-01	3.872551e-01
2             	1.555669e+00	7.529871e-01	8.026822e-01	-9.939019e-02	-6.735399e-02	-3.203620e-02	-1.765890e-02	-2.484755e-02	-3.889173e-01	0.000000e+00	-3.889173e-01	3.889173e-01
2.5           	1.568622e+00	7.307776e-01	8.378448e-01	-2.141344e-01	-1.360992e-01	-7.803521e-02	-2.903197e-02	-5.353359e-02	-3.921556e-01	0.000000e+00	-3.921556e-01	3.921556e-01
3             	1.585794e+00	7.144540e-01	8.713397e-01	-3.137714e-01	-1.947580e-01	-1.190133e-01	-3.787234e-02	-7.844284e-02	-3.964484e-01	0.000000e+00	-3.964484e-01	3.964484e-01
3.5           	1.601754e+00	7.017452e-01	9.000088e-01	-3.965271e-01	-2.425793e-01	-1.539478e-01	-4.431576e-02	-9.913178e-02	-4.004385e-01	0.000000e+00	-4.004385e-01	4.004385e-01
4             	1.613089e+00	6.926515e-01	9.204375e-01	-4.555719e-01	-2.752862e-01	-1.802857e-01	-4.750021e-02	-1.138930e-01	-4.032722e-01	0.000000e+00	-4.032722e-01	4.032722e-01
4.5           	1.618388e+00	6.877831e-01	9.306045e-01	-4.856427e-01	-2.905464e-01	-1.950963e-01	-4.772503e-02	-1.214107e-01	-4.045969e-01	0.000000e+00	-4.045969e-01	4.045969e-01
5             	1.615209e+00	6.858697e-01	9.293391e-01	-4.869387e-01	-2.887286e-01	-1.982101e-01	-4.525927e-02	-1.217347e-01	-4.038022e-01	0.000000e+00	-4.038022e-01	4.038022e-01
5.5           	1.605062e+00	6.883550e-01	9.167070e-01	-4.567041e-01	-2.688587e-01	-1.878454e-01	-4.050661e-02	-1.141760e-01	-4.012655e-01	0.000000e+00	-4.012655e-01	4.012655e-01
6             	1.588843e+00	6.947554e-01	8.940876e-01	-3.986643e-01	-2.330010e-01	-1.656632e-01	-3.366890e-02	-9.966607e-02	-3.972108e-01	0.000000e+00	-3.972108e-01	3.972108e-01
6.5           	1.573173e+00	7.078283e-01	8.653446e-01	-3.150328e-01	-1.826974e-01	-1.323354e-01	-2.518101e-02	-7.875820e-02	-3.932932e-01	0.000000e+00	-3.932932e-01	3.932932e-01
7             	1.559775e+00	7.261775e-01	8.335977e-01	-2.148404e-01	-1.221392e-01	-9.270127e-02	-1.471895e-02	-5.371011e-02	-3.899438e-01	0.000000e+00	-3.899438e-01	3.899438e-01
