# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.05          	2.892618e+00	1.446309e+00	1.446309e+00	-5.161138e-01	-2.718433e-01	-2.442705e-01	-1.378638e-02	8.938861e-22	5.488739e-20	8.596538e-20	9.787007e-20	-1.190470e-20
0.1           	2.440411e+00	1.220205e+00	1.220205e+00	-1.981266e-01	-1.116005e-01	-8.652604e-02	-1.253724e-02	-7.809505e-21	4.285553e-20	9.893514e-20	9.232311e-20	6.612039e-21
0.15          	2.207381e+00	1.103691e+00	1.103691e+00	-7.709510e-02	-4.970532e-02	-2.738978e-02	-1.115777e-02	-2.172970e-20	4.075340e-20	9.481682e-20	8.816181e-20	6.655014e-21
0.2           	2.016828e+00	1.008414e+00	1.008414e+00	-2.325561e-02	-2.144546e-02	-1.810147e-03	-9.817657e-03	-2.611810e-20	3.852655e-20	9.198808e-20	8.452059e-20	7.467488e-21
0.25          	1.860557e+00	9.302786e-01	9.302786e-01	3.925386e-03	-6.620281e-03	1.054567e-02	-8.582974e-03	-2.886329e-20	3.588359e-20	9.145521e-20	8.161119e-20	9.844015e-21
0.3           	1.733371e+00	8.666853e-01	8.666853e-01	1.885158e-02	1.949308e-03	1.690227e-02	-7.476480e-03	-3.058395e-20	3.436157e-20	8.977646e-20	7.924980e-20	1.052666e-20
0.35          	1.629217e+00	8.146087e-01	8.146087e-01	2.851919e-02	7.758656e-03	2.076053e-02	-6.500939e-03	-3.294141e-20	3.326091e-20	8.849890e-20	7.751036e-20	1.098854e-20
0.4           	1.544449e+00	7.722245e-01	7.722245e-01	3.462404e-02	1.166299e-02	2.296105e-02	-5.649026e-03	-3.492556e-20	3.243926e-20	8.725359e-20	7.606606e-20	1.118753e-20
0.45          	1.475889e+00	7.379447e-01	7.379447e-01	3.913640e-02	1.465797e-02	2.447843e-02	-4.910231e-03	-3.609197e-20	3.178107e-20	8.645701e-20	7.500957e-20	1.144744e-20
0.5           	1.419776e+00	7.098881e-01	7.098881e-01	4.166198e-02	1.655842e-02	2.510356e-02	-4.272568e-03	-3.810233e-20	3.138796e-20	8.560413e-20	7.419002e-20	1.141411e-20
0.55          	1.374146e+00	6.870728e-01	6.870728e-01	4.348745e-02	1.802041e-02	2.546705e-02	-3.723321e-03	-3.974018e-20	3.125022e-20	8.461804e-20	7.355924e-20	1.105880e-20
0.6           	1.337131e+00	6.685655e-01	6.685655e-01	4.443938e-02	1.896867e-02	2.547070e-02	-3.251015e-03	-4.206327e-20	3.129367e-20	8.386233e-20	7.322484e-20	1.063749e-20
0.65          	1.303817e+00	6.519087e-01	6.519087e-01	4.496067e-02	1.963546e-02	2.532521e-02	-2.844876e-03	-4.429831e-20	3.115306e-20	8.272836e-20	7.251724e-20	1.021112e-20
0.7           	1.278761e+00	6.393805e-01	6.393805e-01	4.690744e-02	2.095868e-02	2.594876e-02	-2.495040e-03	-4.639455e-20	3.115788e-20	8.180670e-20	7.206123e-20	9.745474e-21
0.75          	1.258974e+00	6.294870e-01	6.294870e-01	4.773955e-02	2.167573e-02	2.606381e-02	-2.194041e-03	-4.876101e-20	3.169734e-20	8.120506e-20	7.229987e-20	8.905188e-21
0.8           	1.243591e+00	6.217954e-01	6.217954e-01	4.814809e-02	2.213908e-02	2.600901e-02	-1.934962e-03	-5.119297e-20	3.275005e-20	8.109300e-20	7.329655e-20	7.796451e-21
0.85          	1.232373e+00	6.161864e-01	6.161864e-01	4.906165e-02	2.281946e-02	2.624220e-02	-1.711369e-03	-5.440411e-20	3.281156e-20	7.987301e-20	7.274807e-20	7.124943e-21
0.9           	1.224992e+00	6.124960e-01	6.124960e-01	5.011044e-02	2.353719e-02	2.657325e-02	-1.518034e-03	-5.748000e-20	3.349486e-20	7.959307e-20	7.329139e-20	6.301674e-21
