# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.5           	2.523349e+00	1.261674e+00	1.261674e+00	-9.573130e-02	-5.771569e-02	-3.801561e-02	-9.850043e-03	-2.860669e-20	-8.453092e-19	-2.649824e-18	-2.170221e-18	-4.796028e-19
1             	2.376877e+00	1.188439e+00	1.188439e+00	-4.351858e-02	-3.176469e-02	-1.175390e-02	-1.000539e-02	8.962592e-20	-8.898710e-19	-2.586381e-18	-2.183062e-18	-4.033196e-19
1.5           	2.395465e+00	1.197732e+00	1.197732e+00	-4.770643e-02	-3.283111e-02	-1.487532e-02	-8.977893e-03	2.809568e-19	-9.961218e-19	-2.535242e-18	-2.263743e-18	-2.714994e-19
2             	2.513507e+00	1.256753e+00	1.256753e+00	-4.791077e-02	-3.186897e-02	-1.604179e-02	-7.913589e-03	4.715870e-19	-1.123636e-18	-2.474626e-18	-2.360949e-18	-1.136771e-19
2.5           	2.647154e+00	1.323577e+00	1.323577e+00	-6.534348e-02	-3.955051e-02	-2.579297e-02	-6.878767e-03	5.269691e-19	-1.227851e-18	-2.398714e-18	-2.427208e-18	2.849381e-20
3             	2.737413e+00	1.368706e+00	1.368706e+00	-8.115849e-02	-4.660781e-02	-3.455068e-02	-6.028562e-03	5.015004e-19	-1.253597e-18	-2.206322e-18	-2.356758e-18	1.504359e-19
3.5           	2.824992e+00	1.412496e+00	1.412496e+00	-1.006932e-01	-5.597101e-02	-4.472222e-02	-5.624396e-03	3.331570e-19	-1.301415e-18	-2.088479e-18	-2.345655e-18	2.571760e-19
4             	2.879795e+00	1.439897e+00	1.439897e+00	-1.169363e-01	-6.298972e-02	-5.394658e-02	-4.521566e-03	2.170380e-19	-1.342077e-18	-2.011383e-18	-2.347769e-18	3.363857e-19
4.5           	2.903370e+00	1.451685e+00	1.451685e+00	-1.273531e-01	-6.690051e-02	-6.045255e-02	-3.223982e-03	1.583886e-19	-1.384662e-18	-1.999573e-18	-2.384448e-18	3.848754e-19
5             	2.892203e+00	1.446101e+00	1.446101e+00	-1.307342e-01	-6.721935e-02	-6.351485e-02	-1.852249e-03	1.812201e-19	-1.407421e-18	-1.984634e-18	-2.399738e-18	4.151039e-19
